H NUM     Z    A ISOM  ABUNDANCE_MF  ISOTP
 # mod      281 dzeit  1.25E+01 agej  4.7207E+04
 # t9 =    8.225E-01 rho =    1.357E+06
 # densn  1.02902E+04
 # densp  4.61071E+07
 # densa  2.61765E+13
 # total_energy_flux_[erg/(g*s)]  0.00000E+00
    1     0.   1.   1   1.25963E-26  NEUT 
    2     1.   1.   1   5.64400E-23  PROT 
    3     1.   2.   1   1.00000E-99  H   2
    4     2.   3.   1   1.00000E-99  HE  3
    5     2.   4.   1   1.28171E-16  HE  4
    6     4.   7.   1   1.00000E-99  BE  7
    7     5.   8.   1   1.00000E-99  B   8
    8     3.   7.   1   1.00000E-99  LI  7
    9     6.  11.   1   4.57168E-14  C  11
   10     5.  11.   1   3.43252E-09  B  11
   11     6.  12.   1   1.00740E-03  C  12
   12     6.  13.   1   7.31559E-11  C  13
   13     7.  13.   1   1.07223E-17  N  13
   14     7.  14.   1   1.72411E-05  N  14
   15     6.  14.   1   2.01618E-06  C  14
   16     7.  15.   1   5.65790E-08  N  15
   17     8.  16.   1   5.49151E-01  O  16
   18     8.  17.   1   1.07167E-05  O  17
   19     8.  18.   1   6.59027E-07  O  18
   20     9.  17.   1   1.04781E-22  F  17
   21     9.  18.   1   1.49412E-14  F  18
   22     9.  19.   1   1.03614E-08  F  19
   23    10.  20.   1   3.66482E-01  NE 20
   24    10.  21.   1   3.43504E-03  NE 21
   25    10.  22.   1   3.77374E-03  NE 22
   26    11.  22.   1   1.71335E-10  NA 22
   27    11.  23.   1   2.52118E-02  NA 23
   28    12.  23.   1   2.43964E-16  MG 23
   29    12.  24.   1   2.91170E-02  MG 24
   30    12.  25.   1   1.30682E-02  MG 25
   31    12.  26.   1   3.57213E-03  MG 26
   32    13.  26.   1   8.53333E-13  AL 26
   33    13.  27.   1   1.88116E-03  AL 27
   34    14.  27.   1   1.64105E-17  SI 27
   35    14.  28.   1   9.88624E-04  SI 28
   36    14.  29.   1   1.21703E-04  SI 29
   37    14.  30.   1   1.87215E-04  SI 30
   38    15.  31.   1   5.63087E-05  P  31
   39    16.  31.   1   4.66157E-23  S  31
   46     4.   8.   1   1.00000E-99  BE  8
   47     8.  14.   1   1.00000E-99  O  14
   48     8.  15.   1   2.11305E-17  O  15
   49    11.  21.   1   5.46040E-16  NA 21
   50    13.  25.   1   4.39561E-15  AL 25
   51    15.  29.   1   1.57460E-18  P  29
   52    15.  30.   1   4.69527E-16  P  30
   58     9.  20.   1   9.93656E-22  F  20
   59    10.  19.   1   1.00000E-99  NE 19
   60    11.  24.   1   3.84283E-12  NA 24
   61    12.  27.   1   4.24748E-15  MG 27
   62    12.  28.   1   3.56671E-24  MG 28
   63    13.  28.   1   5.73033E-15  AL 28
   64    13.  29.   1   1.11554E-24  AL 29
   65    14.  31.   1   1.97368E-14  SI 31
   66    14.  32.   1   9.29601E-13  SI 32
   67    15.  32.   1   1.24480E-12  P  32
   68    15.  33.   1   8.57453E-07  P  33
   69    15.  34.   1   9.27994E-20  P  34
   70    15.  35.   1   1.00000E-99  P  35
   71    16.  32.   1   1.65421E-04  S  32
   72    16.  33.   1   5.91427E-06  S  33
   73    16.  34.   1   2.14820E-05  S  34
   74    16.  35.   1   2.88603E-06  S  35
   75    16.  36.   1   4.33792E-06  S  36
   76    16.  37.   1   7.96305E-19  S  37
   77    16.  38.   1   1.00000E-99  S  38
   78    17.  34.   1   1.38901E-20  CL 34
   79    17.  35.   1   9.18857E-07  CL 35
   80    17.  36.   1   1.20726E-07  CL 36
   81    17.  37.   1   3.69340E-05  CL 37
   82    17.  38.   1   6.33727E-16  CL 38
   83    17.  39.   1   7.10090E-26  CL 39
   84    17.  40.   1   1.00000E-99  CL 40
   85    18.  35.   1   1.00000E-99  AR 35
   86    18.  36.   1   1.97139E-05  AR 36
   87    18.  37.   1   1.46800E-13  AR 37
   88    18.  38.   1   3.82589E-05  AR 38
   89    18.  39.   1   3.85808E-08  AR 39
   90    18.  40.   1   1.82615E-06  AR 40
   91    18.  41.   1   1.33846E-16  AR 41
   92    18.  42.   1   4.51455E-19  AR 42
   93    18.  43.   1   1.00000E-99  AR 43
   94    18.  44.   1   1.00000E-99  AR 44
   95    19.  38.   1   1.80958E-27  K  38
   96    19.  39.   1   7.55907E-06  K  39
   97    19.  40.   1   8.42942E-07  K  40
   98    19.  41.   1   1.47652E-06  K  41
   99    19.  42.   1   7.18095E-15  K  42
  100    19.  43.   1   4.30997E-19  K  43
  101    19.  44.   1   1.00000E-99  K  44
  102    19.  45.   1   1.00000E-99  K  45
  103    19.  46.   1   1.00000E-99  K  46
  104    20.  39.   1   1.00000E-99  CA 39
  105    20.  40.   1   2.93042E-05  CA 40
  106    20.  41.   1   3.11519E-07  CA 41
  107    20.  42.   1   2.24801E-06  CA 42
  108    20.  43.   1   8.51476E-07  CA 43
  109    20.  44.   1   2.56424E-06  CA 44
  110    20.  45.   1   2.81078E-08  CA 45
  111    20.  46.   1   4.26546E-09  CA 46
  112    20.  47.   1   3.15886E-17  CA 47
  113    20.  48.   1   1.35200E-07  CA 48
  114    20.  49.   1   2.36965E-19  CA 49
