H NUM     Z    A ISOM  ABUNDANCE_MF  ISOTP
 # mod      526 dzeit  1.03E-10 agej  4.8518E-04
 # t9 =    9.913E+00 rho =    1.005E+10
 # densn  1.10065E+32
 # densp  2.96466E+29
 # densa  1.91531E+31
 # total_energy_flux_[erg/(g*s)]  0.00000E+00
    1     0.   1.   1   1.81790E-02  NEUT 
    2     1.   1.   1   4.89663E-05  PROT 
    3     1.   2.   1   1.62851E-06  H   2
    4     2.   3.   1   1.48428E-09  HE  3
    5     2.   4.   1   1.26538E-02  HE  4
    6     4.   7.   1   2.25772E-12  BE  7
    7     5.   8.   1   4.06692E-18  B   8
    8     3.   7.   1   5.27977E-09  LI  7
    9     6.  11.   1   7.72999E-13  C  11
   10     5.  11.   1   6.32526E-09  B  11
   11     6.  12.   1   2.29232E-07  C  12
   12     6.  13.   1   5.32292E-08  C  13
   13     7.  13.   1   5.05762E-12  N  13
   14     7.  14.   1   6.14457E-10  N  14
   15     6.  14.   1   1.33452E-07  C  14
   16     7.  15.   1   4.54631E-08  N  15
   17     8.  16.   1   3.71185E-08  O  16
   18     8.  17.   1   1.10486E-08  O  17
   19     8.  18.   1   1.13109E-08  O  18
   20     9.  17.   1   6.20546E-13  F  17
   21     9.  18.   1   1.18437E-11  F  18
   22     9.  19.   1   9.88951E-10  F  19
   23    10.  20.   1   6.00529E-10  NE 20
   24    10.  21.   1   2.92136E-09  NE 21
   25    10.  22.   1   4.31038E-08  NE 22
   26    11.  22.   1   1.53010E-11  NA 22
   27    11.  23.   1   5.60710E-09  NA 23
   28    12.  23.   1   6.75699E-14  MG 23
   29    12.  24.   1   1.30234E-09  MG 24
   30    12.  25.   1   1.19399E-08  MG 25
   31    12.  26.   1   3.06848E-07  MG 26
   32    13.  26.   1   4.44529E-11  AL 26
   33    13.  27.   1   2.63166E-08  AL 27
   34    14.  27.   1   1.43662E-13  SI 27
   35    14.  28.   1   4.17534E-09  SI 28
   36    14.  29.   1   6.83931E-08  SI 29
   37    14.  30.   1   2.06722E-06  SI 30
   38    15.  31.   1   3.28473E-08  P  31
   39    16.  31.   1   9.04181E-14  S  31
   46     4.   8.   1   1.05941E-06  BE  8
   47     8.  14.   1   6.51388E-16  O  14
   48     8.  15.   1   2.36851E-12  O  15
   49    11.  21.   1   6.51955E-14  NA 21
   50    13.  25.   1   1.14269E-13  AL 25
   51    15.  29.   1   3.14168E-13  P  29
   52    15.  30.   1   1.16632E-10  P  30
   58     9.  20.   1   8.64169E-10  F  20
   59    10.  19.   1   2.93938E-14  NE 19
   60    11.  24.   1   1.34412E-08  NA 24
   61    12.  27.   1   4.93498E-07  MG 27
   62    12.  28.   1   1.25508E-06  MG 28
   63    13.  28.   1   1.56763E-07  AL 28
   64    13.  29.   1   1.35245E-06  AL 29
   65    14.  31.   1   6.07471E-06  SI 31
   66    14.  32.   1   2.19413E-05  SI 32
   67    15.  32.   1   4.36280E-07  P  32
   68    15.  33.   1   5.28403E-06  P  33
   69    15.  34.   1   7.78952E-06  P  34
   70    15.  35.   1   1.00897E-05  P  35
   71    16.  32.   1   4.64562E-10  S  32
   72    16.  33.   1   1.75901E-08  S  33
   73    16.  34.   1   8.64529E-07  S  34
   74    16.  35.   1   4.07384E-06  S  35
   75    16.  36.   1   2.41346E-05  S  36
   76    16.  37.   1   1.37624E-05  S  37
   77    16.  38.   1   9.85469E-06  S  38
   78    17.  34.   1   2.03912E-11  CL 34
   79    17.  35.   1   7.27285E-09  CL 35
   80    17.  36.   1   1.19213E-07  CL 36
   81    17.  37.   1   2.37784E-06  CL 37
   82    17.  38.   1   3.80163E-06  CL 38
   83    17.  39.   1   1.02772E-05  CL 39
   84    17.  40.   1   5.94235E-06  CL 40
   85    18.  35.   1   1.22489E-14  AR 35
   86    18.  36.   1   4.63198E-11  AR 36
   87    18.  37.   1   2.26197E-09  AR 37
   88    18.  38.   1   1.49523E-07  AR 38
   89    18.  39.   1   8.93929E-07  AR 39
   90    18.  40.   1   6.96656E-06  AR 40
   91    18.  41.   1   1.79983E-05  AR 41
   92    18.  42.   1   5.38546E-05  AR 42
   93    18.  43.   1   6.04677E-05  AR 43
   94    18.  44.   1   1.00189E-04  AR 44
   95    19.  38.   1   1.87849E-12  K  38
   96    19.  39.   1   1.00097E-09  K  39
   97    19.  40.   1   1.73385E-08  K  40
   98    19.  41.   1   3.90057E-07  K  41
   99    19.  42.   1   3.24573E-06  K  42
  100    19.  43.   1   2.85963E-05  K  43
  101    19.  44.   1   6.61764E-05  K  44
  102    19.  45.   1   3.31849E-04  K  45
  103    19.  46.   1   4.10743E-04  K  46
  104    20.  39.   1   8.23805E-16  CA 39
  105    20.  40.   1   4.83596E-12  CA 40
  106    20.  41.   1   2.81255E-10  CA 41
  107    20.  42.   1   1.89108E-08  CA 42
  108    20.  43.   1   4.35651E-07  CA 43
  109    20.  44.   1   1.00740E-05  CA 44
  110    20.  45.   1   9.06270E-05  CA 45
  111    20.  46.   1   9.12827E-04  CA 46
  112    20.  47.   1   3.96069E-03  CA 47
  113    20.  48.   1   1.55377E-02  CA 48
  114    20.  49.   1   8.87317E-03  CA 49
  115    21.  43.   1   7.22227E-11  SC 43
  116    21.  44.   1   3.84778E-09  SC 44
  117    21.  45.   1   4.05362E-07  SC 45
  118    21.  46.   1   7.65069E-06  SC 46
  119    21.  47.   1   1.61852E-04  SC 47
  120    21.  48.   1   1.93753E-03  SC 48
  121    21.  49.   1   1.47117E-02  SC 49
  122    21.  50.   1   1.76808E-02  SC 50
  123    22.  44.   1   2.66493E-13  TI 44
  124    22.  45.   1   5.59982E-11  TI 45
