H NUM     Z    A ISOM  ABUNDANCE_MF  ISOTP
 # mod      926 dzeit  9.89E+02 agej  1.7564E+07
 # t9 =    5.734E-02 rho =    3.305E+01
 # densn  1.99037E-74
 # densp  1.63093E+11
 # densa  4.90692E+24
 # total_energy_flux_[erg/(g*s)]  0.00000E+00
    1     0.   1.   1   1.00000E-99  NEUT 
    2     1.   1.   1   8.19408E-15  PROT 
    3     1.   2.   1   9.42198E-25  H   2
    4     2.   3.   1   1.00000E-99  HE  3
    5     2.   4.   1   9.86131E-01  HE  4
    6     4.   7.   1   1.00000E-99  BE  7
    7     5.   8.   1   1.00000E-99  B   8
    8     3.   7.   1   2.73942E-24  LI  7
    9     6.  11.   1   1.00000E-99  C  11
   10     5.  11.   1   3.43252E-09  B  11
   11     6.  12.   1   8.25809E-05  C  12
   12     6.  13.   1   2.22604E-05  C  13
   13     7.  13.   1   1.43907E-21  N  13
   14     7.  14.   1   8.72955E-03  N  14
   15     6.  14.   1   8.95559E-13  C  14
   16     7.  15.   1   1.61656E-07  N  15
   17     8.  16.   1   1.65363E-04  O  16
   18     8.  17.   1   2.95803E-07  O  17
   19     8.  18.   1   6.07190E-10  O  18
   20     9.  17.   1   6.01582E-25  F  17
   21     9.  18.   1   1.07358E-24  F  18
   22     9.  19.   1   1.30069E-10  F  19
   23    10.  20.   1   1.19179E-03  NE 20
   24    10.  21.   1   4.28810E-05  NE 21
   25    10.  22.   1   2.45750E-07  NE 22
   26    11.  22.   1   1.60671E-17  NA 22
   27    11.  23.   1   1.34902E-04  NA 23
   28    12.  23.   1   1.00000E-99  MG 23
   29    12.  24.   1   5.86688E-04  MG 24
   30    12.  25.   1   6.47156E-07  MG 25
   31    12.  26.   1   1.67188E-04  MG 26
   32    13.  26.   1   7.62624E-10  AL 26
   33    13.  27.   1   6.03596E-05  AL 27
   34    14.  27.   1   1.00000E-99  SI 27
   35    14.  28.   1   6.49559E-04  SI 28
   36    14.  29.   1   3.41608E-05  SI 29
   37    14.  30.   1   2.32650E-05  SI 30
   38    15.  31.   1   6.22538E-06  P  31
   39    16.  31.   1   1.00000E-99  S  31
   46     4.   8.   1   1.00000E-99  BE  8
   47     8.  14.   1   1.00000E-99  O  14
   48     8.  15.   1   5.49601E-22  O  15
   49    11.  21.   1   1.12212E-26  NA 21
   50    13.  25.   1   1.00000E-99  AL 25
   51    15.  29.   1   1.00000E-99  P  29
   52    15.  30.   1   1.00000E-99  P  30
   58     9.  20.   1   1.00000E-99  F  20
   59    10.  19.   1   1.00000E-99  NE 19
   60    11.  24.   1   3.03848E-20  NA 24
   61    12.  27.   1   2.40615E-24  MG 27
   62    12.  28.   1   1.00000E-99  MG 28
   63    13.  28.   1   3.80179E-23  AL 28
   64    13.  29.   1   1.00000E-99  AL 29
   65    14.  31.   1   1.35901E-21  SI 31
   66    14.  32.   1   1.00000E-99  SI 32
   67    15.  32.   1   2.52357E-21  P  32
   68    15.  33.   1   1.29734E-22  P  33
   69    15.  34.   1   1.00000E-99  P  34
   70    15.  35.   1   1.00000E-99  P  35
   71    16.  32.   1   3.11273E-04  S  32
   72    16.  33.   1   2.56999E-06  S  33
   73    16.  34.   1   1.49460E-05  S  34
   74    16.  35.   1   2.42884E-20  S  35
   75    16.  36.   1   7.37768E-08  S  36
   76    16.  37.   1   3.20701E-27  S  37
   77    16.  38.   1   1.00000E-99  S  38
   78    17.  34.   1   1.00000E-99  CL 34
   79    17.  35.   1   6.51944E-06  CL 35
   80    17.  36.   1   8.54391E-15  CL 36
   81    17.  37.   1   2.20274E-06  CL 37
   82    17.  38.   1   1.05664E-23  CL 38
   83    17.  39.   1   1.00000E-99  CL 39
   84    17.  40.   1   1.00000E-99  CL 40
   85    18.  35.   1   1.00000E-99  AR 35
   86    18.  36.   1   5.94611E-05  AR 36
   87    18.  37.   1   4.92794E-16  AR 37
   88    18.  38.   1   1.14117E-05  AR 38
   89    18.  39.   1   3.22057E-16  AR 39
   90    18.  40.   1   1.92125E-08  AR 40
   91    18.  41.   1   1.65005E-25  AR 41
   92    18.  42.   1   1.00000E-99  AR 42
   93    18.  43.   1   1.00000E-99  AR 43
   94    18.  44.   1   1.00000E-99  AR 44
