H NUM     Z    A ISOM  ABUNDANCE_MF  ISOTP
 # mod      828 dzeit  1.35E+02 agej  1.7212E+06
 # t9 =    2.978E-01 rho =    6.336E+03
 # densn  3.81540E-72
 # densp  3.81540E-72
 # densa  9.53850E-73
 # total_energy_flux_[erg/(g*s)]  0.00000E+00
    1     0.   1.   1   1.00000E-99  NEUT 
    2     1.   1.   1   1.00000E-99  PROT 
    3     1.   2.   1   4.69618E-20  H   2
    4     2.   3.   1   1.00000E-99  HE  3
    5     2.   4.   1   1.00000E-99  HE  4
    6     4.   7.   1   1.00000E-99  BE  7
    7     5.   8.   1   1.00000E-99  B   8
    8     3.   7.   1   1.82228E-20  LI  7
    9     6.  11.   1   1.00000E-99  C  11
   10     5.  11.   1   3.43252E-09  B  11
   11     6.  12.   1   2.95425E-01  C  12
   12     6.  13.   1   8.05626E-11  C  13
   13     7.  13.   1   1.00000E-99  N  13
   14     7.  14.   1   1.81738E-11  N  14
   15     6.  14.   1   5.33882E-15  C  14
   16     7.  15.   1   1.17965E-15  N  15
   17     8.  16.   1   6.85846E-01  O  16
   18     8.  17.   1   1.28370E-06  O  17
   19     8.  18.   1   8.03268E-11  O  18
   20     9.  17.   1   1.00000E-99  F  17
   21     9.  18.   1   1.00000E-99  F  18
   22     9.  19.   1   1.30547E-08  F  19
   23    10.  20.   1   1.25489E-03  NE 20
   24    10.  21.   1   3.81852E-05  NE 21
   25    10.  22.   1   1.32439E-02  NE 22
   26    11.  22.   1   1.00000E-99  NA 22
   27    11.  23.   1   1.35939E-04  NA 23
   28    12.  23.   1   1.00000E-99  MG 23
   29    12.  24.   1   5.85440E-04  MG 24
   30    12.  25.   1   4.96519E-05  MG 25
   31    12.  26.   1   6.72861E-04  MG 26
   32    13.  26.   1   3.07619E-11  AL 26
   33    13.  27.   1   5.94614E-05  AL 27
   34    14.  27.   1   1.00000E-99  SI 27
   35    14.  28.   1   6.48915E-04  SI 28
   36    14.  29.   1   3.48045E-05  SI 29
   37    14.  30.   1   2.58950E-05  SI 30
   38    15.  31.   1   6.54574E-06  P  31
   39    16.  31.   1   1.00000E-99  S  31
   46     4.   8.   1   1.00000E-99  BE  8
   47     8.  14.   1   1.00000E-99  O  14
   48     8.  15.   1   1.00000E-99  O  15
   49    11.  21.   1   1.00000E-99  NA 21
   50    13.  25.   1   1.00000E-99  AL 25
