H NUM     Z    A ISOM  ABUNDANCE_MF  ISOTP
 # mod      261 dzeit  1.02E-01 agej  9.6715E+02
 # t9 =    1.475E+00 rho =    1.539E+07
 # densn  2.84078E+08
 # densp  3.13570E+11
 # densa  3.23728E+15
 # total_energy_flux_[erg/(g*s)]  0.00000E+00
    1     0.   1.   1   3.06454E-23  NEUT 
    2     1.   1.   1   3.38269E-20  PROT 
    3     1.   2.   1   1.00000E-99  H   2
    4     2.   3.   1   1.06950E-25  HE  3
    5     2.   4.   1   1.39691E-15  HE  4
    6     4.   7.   1   1.00000E-99  BE  7
    7     5.   8.   1   1.00000E-99  B   8
    8     3.   7.   1   1.00000E-99  LI  7
    9     6.  11.   1   5.44734E-18  C  11
   10     5.  11.   1   3.43252E-09  B  11
   11     6.  12.   1   1.50542E-13  C  12
   12     6.  13.   1   1.61032E-16  C  13
   13     7.  13.   1   1.00000E-99  N  13
   14     7.  14.   1   7.28753E-12  N  14
   15     6.  14.   1   3.33647E-13  C  14
   16     7.  15.   1   4.44741E-13  N  15
   17     8.  16.   1   7.21607E-01  O  16
   18     8.  17.   1   8.45839E-12  O  17
   19     8.  18.   1   1.25160E-12  O  18
   20     9.  17.   1   9.33432E-21  F  17
   21     9.  18.   1   1.39679E-17  F  18
   22     9.  19.   1   2.28743E-17  F  19
   23    10.  20.   1   8.58943E-04  NE 20
   24    10.  21.   1   4.51005E-07  NE 21
   25    10.  22.   1   2.62978E-08  NE 22
   26    11.  22.   1   7.26531E-12  NA 22
   27    11.  23.   1   7.59155E-08  NA 23
   28    12.  23.   1   4.28945E-20  MG 23
   29    12.  24.   1   9.38599E-02  MG 24
   30    12.  25.   1   1.02606E-02  MG 25
   31    12.  26.   1   3.27465E-03  MG 26
   32    13.  26.   1   4.14523E-09  AL 26
   33    13.  27.   1   1.76126E-03  AL 27
   34    14.  27.   1   2.16631E-17  SI 27
   35    14.  28.   1   1.12815E-01  SI 28
   36    14.  29.   1   2.12345E-02  SI 29
   37    14.  30.   1   9.91322E-03  SI 30
   38    15.  31.   1   1.41544E-02  P  31
   39    16.  31.   1   4.50825E-11  S  31
   46     4.   8.   1   1.00000E-99  BE  8
   47     8.  14.   1   1.00000E-99  O  14
   48     8.  15.   1   1.54262E-19  O  15
   49    11.  21.   1   1.40080E-17  NA 21
   50    13.  25.   1   6.40396E-16  AL 25
   51    15.  29.   1   1.09126E-14  P  29
   52    15.  30.   1   1.66789E-09  P  30
   58     9.  20.   1   5.91570E-26  F  20
   59    10.  19.   1   2.00764E-26  NE 19
   60    11.  24.   1   3.70437E-14  NA 24
   61    12.  27.   1   2.84632E-10  MG 27
   62    12.  28.   1   2.89938E-14  MG 28
   63    13.  28.   1   4.44305E-10  AL 28
   64    13.  29.   1   1.37614E-13  AL 29
   65    14.  31.   1   1.56698E-06  SI 31
   66    14.  32.   1   1.18080E-05  SI 32
   67    15.  32.   1   5.30594E-06  P  32
   68    15.  33.   1   7.92109E-04  P  33
   69    15.  34.   1   2.39691E-12  P  34
   70    15.  35.   1   7.75833E-19  P  35
   71    16.  32.   1   7.01632E-03  S  32
   72    16.  33.   1   6.22571E-06  S  33
   73    16.  34.   1   5.74885E-04  S  34
   74    16.  35.   1   6.28730E-05  S  35
   75    16.  36.   1   1.84976E-05  S  36
   76    16.  37.   1   1.22545E-15  S  37
   77    16.  38.   1   2.59843E-20  S  38
   78    17.  34.   1   2.17323E-15  CL 34
   79    17.  35.   1   8.02996E-08  CL 35
   80    17.  36.   1   3.83856E-07  CL 36
   81    17.  37.   1   2.58606E-05  CL 37
   82    17.  38.   1   1.81546E-11  CL 38
   83    17.  39.   1   5.25374E-17  CL 39
   84    17.  40.   1   9.34833E-25  CL 40
   85    18.  35.   1   2.21631E-24  AR 35
   86    18.  36.   1   1.23194E-05  AR 36
   87    18.  37.   1   7.00396E-11  AR 37
   88    18.  38.   1   6.07469E-05  AR 38
   89    18.  39.   1   2.07966E-07  AR 39
   90    18.  40.   1   4.20848E-06  AR 40
   91    18.  41.   1   1.73587E-11  AR 41
   92    18.  42.   1   1.92145E-09  AR 42
   93    18.  43.   1   1.78345E-16  AR 43
   94    18.  44.   1   6.96325E-23  AR 44
   95    19.  38.   1   6.77961E-20  K  38
   96    19.  39.   1   5.44266E-06  K  39
   97    19.  40.   1   7.61569E-07  K  40
   98    19.  41.   1   2.37617E-06  K  41
   99    19.  42.   1   5.40618E-10  K  42
  100    19.  43.   1   3.50008E-12  K  43
  101    19.  44.   1   1.89316E-18  K  44
  102    19.  45.   1   4.07054E-21  K  45
  103    19.  46.   1   1.00000E-99  K  46
  104    20.  39.   1   1.00000E-99  CA 39
  105    20.  40.   1   1.21779E-05  CA 40
  106    20.  41.   1   1.37259E-08  CA 41
  107    20.  42.   1   3.51313E-06  CA 42
  108    20.  43.   1   1.48872E-06  CA 43
  109    20.  44.   1   5.38142E-06  CA 44
  110    20.  45.   1   2.25386E-06  CA 45
  111    20.  46.   1   1.84007E-06  CA 46
  112    20.  47.   1   8.29030E-10  CA 47
  113    20.  48.   1   1.22984E-07  CA 48
  114    20.  49.   1   2.21359E-15  CA 49
  115    21.  43.   1   4.35877E-13  SC 43
  116    21.  44.   1   8.81691E-13  SC 44
  117    21.  45.   1   6.87097E-09  SC 45
  118    21.  46.   1   1.84112E-11  SC 46
  119    21.  47.   1   3.50186E-07  SC 47
  120    21.  48.   1   7.05737E-11  SC 48
  121    21.  49.   1   3.95469E-13  SC 49
  122    21.  50.   1   6.31468E-21  SC 50
  123    22.  44.   1   1.75448E-14  TI 44
  124    22.  45.   1   3.52461E-19  TI 45
  125    22.  46.   1   1.19113E-07  TI 46
  126    22.  47.   1   1.06395E-07  TI 47
  127    22.  48.   1   4.61446E-07  TI 48
  128    22.  49.   1   4.79699E-07  TI 49
  129    22.  50.   1   2.67367E-06  TI 50
  130    22.  51.   1   5.35612E-13  TI 51
  131    22.  52.   1   3.99368E-20  TI 52
  132    23.  47.   1   2.86785E-15  V  47
  133    23.  48.   1   1.23996E-14  V  48
  134    23.  49.   1   1.18183E-11  V  49
  135    23.  50.   1   2.50864E-11  V  50
  136    23.  51.   1   3.59498E-07  V  51
  137    23.  52.   1   3.04938E-13  V  52
  138    23.  53.   1   2.50458E-18  V  53
  139    24.  48.   1   1.84398E-23  CR 48
  140    24.  49.   1   2.51787E-22  CR 49
  141    24.  50.   1   9.33130E-10  CR 50
  142    24.  51.   1   1.49937E-13  CR 51
  143    24.  52.   1   1.54712E-06  CR 52
  144    24.  53.   1   6.62772E-07  CR 53
  145    24.  54.   1   5.89490E-06  CR 54
  146    24.  55.   1   1.44898E-12  CR 55
  147    24.  56.   1   3.26338E-18  CR 56
  148    25.  51.   1   1.26615E-17  MN 51
  149    25.  52.   1   1.52554E-20  MN 52
  150    25.  53.   1   3.96969E-11  MN 53
  151    25.  54.   1   1.15509E-11  MN 54
  152    25.  55.   1   2.02297E-06  MN 55
  153    25.  56.   1   1.77217E-12  MN 56
  154    25.  57.   1   2.04463E-14  MN 57
  155    26.  52.   1   2.40552E-26  FE 52
  156    26.  53.   1   1.06941E-26  FE 53
  157    26.  54.   1   3.91092E-08  FE 54
  158    26.  55.   1   4.12912E-11  FE 55
  159    26.  56.   1   4.72361E-05  FE 56
  160    26.  57.   1   2.47376E-05  FE 57
  161    26.  58.   1   3.23607E-04  FE 58
  162    26.  59.   1   8.51353E-08  FE 59
  163    26.  60.   1   8.35774E-06  FE 60
  164    26.  61.   1   7.04067E-13  FE 61
  165    27.  55.   1   6.94141E-16  CO 55
  166    27.  56.   1   5.45690E-18  CO 56
  167    27.  57.   1   1.29390E-10  CO 57
  168    27.  58.   1   3.87854E-11  CO 58
  169    27.  59.   1   1.45894E-04  CO 59
  170    27.  60.   1   8.46603E-09  CO 60
  171    27.  61.   1   3.51106E-08  CO 61
  172    27.  62.   1   7.08780E-15  CO 62
  173    27.  63.   1   4.29143E-19  CO 63
  174    28.  56.   1   8.87744E-25  NI 56
  175    28.  57.   1   6.23896E-25  NI 57
  176    28.  58.   1   6.17718E-10  NI 58
  177    28.  59.   1   9.13555E-12  NI 59
  178    28.  60.   1   1.15197E-04  NI 60
  179    28.  61.   1   4.75040E-05  NI 61
  180    28.  62.   1   5.70668E-04  NI 62
  181    28.  63.   1   3.29586E-06  NI 63
  182    28.  64.   1   1.66112E-04  NI 64
  183    28.  65.   1   2.45874E-10  NI 65
  184    28.  66.   1   6.12987E-14  NI 66
  185    28.  67.   1   4.20853E-22  NI 67
  186    28.  68.   1   1.00000E-99  NI 68
  187    29.  60.   1   4.73549E-21  CU 60
  188    29.  61.   1   1.86132E-13  CU 61
  189    29.  62.   1   1.97933E-13  CU 62
  190    29.  63.   1   8.25616E-09  CU 63
  191    29.  64.   1   3.76476E-13  CU 64
  192    29.  65.   1   2.68185E-05  CU 65
  193    29.  66.   1   3.77122E-11  CU 66
  194    29.  67.   1   9.98648E-14  CU 67
  195    29.  68.   1   6.17143E-20  CU 68
  196    29.  69.   1   2.97459E-25  CU 69
  197    29.  70.   1   1.00000E-99  CU 70
  198    29.  71.   1   1.00000E-99  CU 71
  199    30.  62.   1   2.37662E-22  ZN 62
  200    30.  63.   1   4.82988E-22  ZN 63
  201    30.  64.   1   3.52074E-14  ZN 64
  202    30.  65.   1   6.18085E-13  ZN 65
  203    30.  66.   1   3.55208E-05  ZN 66
  204    30.  67.   1   2.73199E-06  ZN 67
  205    30.  68.   1   4.45934E-05  ZN 68
  206    30.  69.   1   3.97292E-10  ZN 69
  207    30.  70.   1   6.04712E-07  ZN 70
  208    30.  71.   1   4.62582E-13  ZN 71
  209    30.  72.   1   2.32686E-16  ZN 72
  210    30.  73.   1   3.66767E-24  ZN 73
  211    30.  74.   1   1.00000E-99  ZN 74
  212    31.  65.   1   1.83798E-23  GA 65
  213    31.  66.   1   1.67627E-19  GA 66
  214    31.  67.   1   8.39232E-11  GA 67
  215    31.  68.   1   1.06053E-13  GA 68
  216    31.  69.   1   4.85160E-06  GA 69
  217    31.  70.   1   9.93947E-11  GA 70
  218    31.  71.   1   2.01686E-06  GA 71
  219    31.  72.   1   3.96754E-12  GA 72
  220    31.  73.   1   4.89637E-16  GA 73
  221    31.  74.   1   9.61370E-22  GA 74
  222    31.  75.   1   1.00000E-99  GA 75
  223    32.  66.   1   1.00000E-99  GE 66
  224    32.  67.   1   1.63686E-27  GE 67
  225    32.  68.   1   3.04742E-15  GE 68
  226    32.  69.   1   4.83125E-15  GE 69
  227    32.  70.   1   5.08227E-06  GE 70
  228    32.  71.   1   1.78107E-07  GE 71
  229    32.  72.   1   1.35850E-05  GE 72
  230    32.  73.   1   3.14970E-07  GE 73
  231    32.  74.   1   8.48249E-06  GE 74
  232    32.  75.   1   4.50961E-10  GE 75
  233    32.  76.   1   3.71983E-07  GE 76
  234    32.  77.   1   9.17920E-13  GE 77
  235    32.  78.   1   1.71853E-17  GE 78
  236    33.  69.   1   1.71014E-25  AS 69
  237    33.  70.   1   6.57398E-23  AS 70
  238    33.  71.   1   2.72179E-12  AS 71
  239    33.  72.   1   1.04935E-13  AS 72
  240    33.  73.   1   3.15408E-10  AS 73
  241    33.  74.   1   8.50524E-11  AS 74
  242    33.  75.   1   1.13863E-06  AS 75
  243    33.  76.   1   8.02505E-12  AS 76
  244    33.  77.   1   1.06669E-10  AS 77
  245    33.  78.   1   1.13468E-16  AS 78
  246    33.  79.   1   1.89907E-21  AS 79
  247    33.  80.   1   1.00000E-99  AS 80
  248    33.  81.   1   1.00000E-99  AS 81
  249    34.  72.   1   6.20049E-18  SE 72
  250    34.  73.   1   1.68387E-20  SE 73
  251    34.  74.   1   1.09675E-12  SE 74
  252    34.  75.   1   1.13880E-11  SE 75
  253    34.  76.   1   1.97942E-06  SE 76
  254    34.  77.   1   5.07265E-07  SE 77
  255    34.  78.   1   2.65375E-06  SE 78
  256    34.  79.   1   5.79991E-08  SE 79
  257    34.  80.   1   2.06612E-06  SE 80
