H NUM     Z    A ISOM  ABUNDANCE_MF  ISOTP
 # mod      502 dzeit  7.92E-03 agej  4.5325E+00
 # t9 =    2.103E+00 rho =    3.194E+07
 # densn  6.18657E+11
 # densp  1.65202E+13
 # densa  3.58003E+15
 # total_energy_flux_[erg/(g*s)]  0.00000E+00
    1     0.   1.   1   3.21671E-20  NEUT 
    2     1.   1.   1   8.58970E-19  PROT 
    3     1.   2.   1   1.00000E-99  H   2
    4     2.   3.   1   6.03467E-25  HE  3
    5     2.   4.   1   7.44577E-16  HE  4
    6     4.   7.   1   1.00000E-99  BE  7
    7     5.   8.   1   1.00000E-99  B   8
    8     3.   7.   1   1.00000E-99  LI  7
    9     6.  11.   1   1.21227E-19  C  11
   10     5.  11.   1   3.43252E-09  B  11
   11     6.  12.   1   1.71904E-09  C  12
   12     6.  13.   1   2.35022E-18  C  13
   13     7.  13.   1   9.41311E-26  N  13
   14     7.  14.   1   1.54613E-17  N  14
   15     6.  14.   1   1.86728E-16  C  14
   16     7.  15.   1   5.83213E-15  N  15
   17     8.  16.   1   6.38686E-04  O  16
   18     8.  17.   1   4.78871E-16  O  17
   19     8.  18.   1   4.87317E-20  O  18
   20     9.  17.   1   6.13968E-23  F  17
   21     9.  18.   1   3.04533E-25  F  18
   22     9.  19.   1   5.64179E-24  F  19
   23    10.  20.   1   7.50123E-12  NE 20
   24    10.  21.   1   2.16732E-16  NE 21
   25    10.  22.   1   4.55103E-11  NE 22
   26    11.  22.   1   1.28708E-17  NA 22
   27    11.  23.   1   4.30823E-10  NA 23
   28    12.  23.   1   2.30335E-15  MG 23
   29    12.  24.   1   1.00793E-03  MG 24
   30    12.  25.   1   3.66853E-08  MG 25
   31    12.  26.   1   6.70429E-06  MG 26
   32    13.  26.   1   3.05155E-14  AL 26
   33    13.  27.   1   5.20981E-06  AL 27
   34    14.  27.   1   1.65935E-12  SI 27
   35    14.  28.   1   2.99946E-01  SI 28
   36    14.  29.   1   2.55295E-03  SI 29
   37    14.  30.   1   4.19972E-01  SI 30
   38    15.  31.   1   1.59534E-04  P  31
   39    16.  31.   1   1.18338E-11  S  31
   46     4.   8.   1   1.00000E-99  BE  8
   47     8.  14.   1   1.00000E-99  O  14
   48     8.  15.   1   4.34216E-23  O  15
   49    11.  21.   1   1.40318E-26  NA 21
   50    13.  25.   1   1.02176E-18  AL 25
   51    15.  29.   1   1.41902E-15  P  29
   52    15.  30.   1   6.22724E-11  P  30
   58     9.  20.   1   1.00000E-99  F  20
   59    10.  19.   1   1.00000E-99  NE 19
   60    11.  24.   1   8.14350E-16  NA 24
   61    12.  27.   1   1.57725E-12  MG 27
   62    12.  28.   1   8.54680E-14  MG 28
   63    13.  28.   1   5.53612E-10  AL 28
   64    13.  29.   1   7.93636E-10  AL 29
   65    14.  31.   1   9.30320E-07  SI 31
   66    14.  32.   1   8.95621E-08  SI 32
   67    15.  32.   1   1.13416E-07  P  32
   68    15.  33.   1   1.89158E-04  P  33
   69    15.  34.   1   7.17011E-12  P  34
   70    15.  35.   1   9.38056E-15  P  35
   71    16.  32.   1   5.80794E-04  S  32
   72    16.  33.   1   1.78382E-05  S  33
   73    16.  34.   1   2.68480E-01  S  34
   74    16.  35.   1   1.33671E-06  S  35
   75    16.  36.   1   6.89772E-06  S  36
   76    16.  37.   1   2.82918E-17  S  37
   77    16.  38.   1   4.30878E-21  S  38
   78    17.  34.   1   1.85339E-14  CL 34
   79    17.  35.   1   8.42048E-07  CL 35
   80    17.  36.   1   1.87364E-08  CL 36
   81    17.  37.   1   3.93989E-06  CL 37
   82    17.  38.   1   1.09865E-13  CL 38
   83    17.  39.   1   4.88773E-17  CL 39
   84    17.  40.   1   1.03650E-25  CL 40
   85    18.  35.   1   6.28816E-22  AR 35
   86    18.  36.   1   7.88033E-08  AR 36
   87    18.  37.   1   4.72226E-09  AR 37
   88    18.  38.   1   4.82421E-03  AR 38
   89    18.  39.   1   6.17584E-09  AR 39
   90    18.  40.   1   7.78360E-09  AR 40
   91    18.  41.   1   6.11629E-16  AR 41
   92    18.  42.   1   6.85238E-17  AR 42
   93    18.  43.   1   1.72788E-25  AR 43
   94    18.  44.   1   4.17215E-27  AR 44
   95    19.  38.   1   1.19591E-17  K  38
   96    19.  39.   1   2.41170E-08  K  39
   97    19.  40.   1   1.10737E-11  K  40
   98    19.  41.   1   1.34813E-10  K  41
   99    19.  42.   1   1.13002E-14  K  42
  100    19.  43.   1   1.96581E-13  K  43
  101    19.  44.   1   2.23708E-18  K  44
  102    19.  45.   1   2.06299E-19  K  45
  103    19.  46.   1   1.51206E-25  K  46
  104    20.  39.   1   1.12259E-25  CA 39
  105    20.  40.   1   1.86589E-09  CA 40
  106    20.  41.   1   2.89931E-11  CA 41
  107    20.  42.   1   3.38097E-07  CA 42
  108    20.  43.   1   8.64976E-10  CA 43
  109    20.  44.   1   2.78886E-05  CA 44
  110    20.  45.   1   3.21908E-09  CA 45
  111    20.  46.   1   2.69760E-08  CA 46
  112    20.  47.   1   1.48579E-12  CA 47
  113    20.  48.   1   1.93227E-12  CA 48
  114    20.  49.   1   4.10423E-22  CA 49
  115    21.  43.   1   1.14425E-15  SC 43
  116    21.  44.   1   1.09264E-14  SC 44
  117    21.  45.   1   6.81596E-09  SC 45
  118    21.  46.   1   1.47499E-10  SC 46
  119    21.  47.   1   3.60768E-08  SC 47
  120    21.  48.   1   9.08111E-11  SC 48
  121    21.  49.   1   3.16450E-11  SC 49
  122    21.  50.   1   2.56424E-19  SC 50
  123    22.  44.   1   1.00491E-16  TI 44
  124    22.  45.   1   1.31541E-15  TI 45
  125    22.  46.   1   3.12171E-09  TI 46
  126    22.  47.   1   6.08511E-10  TI 47
  127    22.  48.   1   2.63532E-06  TI 48
  128    22.  49.   1   1.67620E-08  TI 49
  129    22.  50.   1   1.87717E-06  TI 50
  130    22.  51.   1   3.57133E-13  TI 51
  131    22.  52.   1   1.46457E-16  TI 52
  132    23.  47.   1   5.95164E-17  V  47
  133    23.  48.   1   5.98907E-15  V  48
  134    23.  49.   1   3.06684E-10  V  49
  135    23.  50.   1   6.33351E-11  V  50
  136    23.  51.   1   3.78067E-07  V  51
  137    23.  52.   1   9.36427E-12  V  52
  138    23.  53.   1   1.26241E-14  V  53
  139    24.  48.   1   3.82357E-22  CR 48
  140    24.  49.   1   1.74568E-18  CR 49
  141    24.  50.   1   7.26514E-12  CR 50
  142    24.  51.   1   6.25361E-11  CR 51
  143    24.  52.   1   1.99305E-05  CR 52
  144    24.  53.   1   2.04452E-08  CR 53
  145    24.  54.   1   1.64815E-07  CR 54
  146    24.  55.   1   2.19518E-14  CR 55
  147    24.  56.   1   4.75172E-15  CR 56
  148    25.  51.   1   1.59927E-19  MN 51
  149    25.  52.   1   2.92322E-16  MN 52
  150    25.  53.   1   8.29169E-10  MN 53
  151    25.  54.   1   3.33340E-09  MN 54
  152    25.  55.   1   2.14485E-06  MN 55
  153    25.  56.   1   1.77164E-11  MN 56
  154    25.  57.   1   3.57221E-12  MN 57
  155    26.  52.   1   7.78505E-25  FE 52
  156    26.  53.   1   3.21571E-20  FE 53
  157    26.  54.   1   8.02364E-09  FE 54
  158    26.  55.   1   2.05614E-08  FE 55
  159    26.  56.   1   4.61626E-04  FE 56
  160    26.  57.   1   2.02621E-07  FE 57
  161    26.  58.   1   6.87545E-06  FE 58
  162    26.  59.   1   5.08494E-12  FE 59
  163    26.  60.   1   1.21378E-12  FE 60
  164    26.  61.   1   1.12605E-20  FE 61
  165    27.  55.   1   6.05248E-17  CO 55
  166    27.  56.   1   4.45799E-15  CO 56
  167    27.  57.   1   7.19396E-10  CO 57
  168    27.  58.   1   1.10854E-10  CO 58
  169    27.  59.   1   1.61680E-06  CO 59
  170    27.  60.   1   3.82474E-10  CO 60
  171    27.  61.   1   1.07931E-07  CO 61
  172    27.  62.   1   8.05455E-15  CO 62
  173    27.  63.   1   3.39198E-18  CO 63
  174    28.  56.   1   9.21078E-23  NI 56
  175    28.  57.   1   1.59637E-17  NI 57
  176    28.  58.   1   6.42123E-09  NI 58
  177    28.  59.   1   5.52826E-09  NI 59
  178    28.  60.   1   9.99872E-04  NI 60
  179    28.  61.   1   8.32436E-07  NI 61
  180    28.  62.   1   6.20459E-05  NI 62
  181    28.  63.   1   5.84995E-11  NI 63
  182    28.  64.   1   5.99013E-10  NI 64
  183    28.  65.   1   5.46338E-17  NI 65
  184    28.  66.   1   5.31860E-19  NI 66
  185    28.  67.   1   1.47804E-27  NI 67
  186    28.  68.   1   1.00000E-99  NI 68
  187    29.  60.   1   4.13231E-19  CU 60
  188    29.  61.   1   9.38027E-13  CU 61
  189    29.  62.   1   4.90507E-14  CU 62
  190    29.  63.   1   8.24828E-11  CU 63
  191    29.  64.   1   5.00403E-14  CU 64
  192    29.  65.   1   2.56075E-10  CU 65
  193    29.  66.   1   6.46147E-16  CU 66
  194    29.  67.   1   3.38680E-16  CU 67
  195    29.  68.   1   6.06830E-24  CU 68
  196    29.  69.   1   2.90540E-26  CU 69
  197    29.  70.   1   1.00000E-99  CU 70
  198    29.  71.   1   1.00000E-99  CU 71
  199    30.  62.   1   2.31806E-19  ZN 62
  200    30.  63.   1   1.82315E-19  ZN 63
  201    30.  64.   1   4.72357E-12  ZN 64
  202    30.  65.   1   3.79217E-13  ZN 65
  203    30.  66.   1   9.46833E-08  ZN 66
  204    30.  67.   1   2.04870E-12  ZN 67
  205    30.  68.   1   4.51077E-08  ZN 68
  206    30.  69.   1   7.19941E-15  ZN 69
  207    30.  70.   1   1.41259E-15  ZN 70
  208    30.  71.   1   2.60143E-23  ZN 71
  209    30.  72.   1   1.90249E-25  ZN 72
  210    30.  73.   1   1.00000E-99  ZN 73
  211    30.  74.   1   1.00000E-99  ZN 74
  212    31.  65.   1   7.18435E-23  GA 65
  213    31.  66.   1   5.93306E-22  GA 66
  214    31.  67.   1   1.66702E-15  GA 67
  215    31.  68.   1   1.95133E-16  GA 68
  216    31.  69.   1   7.24122E-12  GA 69
  217    31.  70.   1   4.14624E-16  GA 70
  218    31.  71.   1   7.89145E-13  GA 71
  219    31.  72.   1   3.82948E-19  GA 72
  220    31.  73.   1   8.35410E-20  GA 73
  221    31.  74.   1   1.14950E-26  GA 74
  222    31.  75.   1   1.00000E-99  GA 75
  223    32.  66.   1   1.97232E-26  GE 66
  224    32.  67.   1   6.70703E-23  GE 67
  225    32.  68.   1   1.70030E-13  GE 68
  226    32.  69.   1   2.17894E-14  GE 69
  227    32.  70.   1   1.65051E-08  GE 70
  228    32.  71.   1   2.79073E-12  GE 71
  229    32.  72.   1   1.93651E-06  GE 72
  230    32.  73.   1   8.45436E-12  GE 73
  231    32.  74.   1   9.17547E-11  GE 74
  232    32.  75.   1   7.23168E-17  GE 75
  233    32.  76.   1   4.65121E-18  GE 76
  234    32.  77.   1   2.07456E-25  GE 77
  235    32.  78.   1   1.00000E-99  GE 78
  236    33.  69.   1   1.03157E-25  AS 69
  237    33.  70.   1   1.85367E-23  AS 70
  238    33.  71.   1   1.59350E-17  AS 71
  239    33.  72.   1   7.72198E-18  AS 72
  240    33.  73.   1   2.82848E-13  AS 73
  241    33.  74.   1   1.80522E-15  AS 74
  242    33.  75.   1   1.77121E-11  AS 75
  243    33.  76.   1   1.16588E-16  AS 76
  244    33.  77.   1   7.31150E-16  AS 77
  245    33.  78.   1   4.66346E-22  AS 78
  246    33.  79.   1   3.13226E-23  AS 79
  247    33.  80.   1   1.00000E-99  AS 80
  248    33.  81.   1   1.00000E-99  AS 81
  249    34.  72.   1   1.16516E-13  SE 72
  250    34.  73.   1   4.72015E-14  SE 73
  251    34.  74.   1   5.54279E-08  SE 74
  252    34.  75.   1   3.61737E-10  SE 75
  253    34.  76.   1   2.06113E-06  SE 76
  254    34.  77.   1   6.07966E-11  SE 77
  255    34.  78.   1   1.17435E-07  SE 78
  256    34.  79.   1   1.98224E-12  SE 79
