H NUM     Z    A ISOM  ABUNDANCE_MF  ISOTP
 # mod      125 dzeit  2.78E+02 agej  5.3038E+08
 # t9 =    1.004E-01 rho =    1.466E+04
 # densn  5.98329E+01
 # densp  9.03320E+08
 # densa  3.56496E+27
 # total_energy_flux_[erg/(g*s)]  0.00000E+00
    1     0.   1.   1   6.77870E-27  NEUT 
    2     1.   1.   1   1.02341E-19  PROT 
    3     1.   2.   1   2.62644E-19  H   2
    4     2.   3.   1   1.00000E-99  HE  3
    5     2.   4.   1   4.03888E-01  HE  4
    6     4.   7.   1   2.03963E-27  BE  7
    7     5.   8.   1   1.00000E-99  B   8
    8     3.   7.   1   1.74089E-19  LI  7
    9     6.  11.   1   1.00000E-99  C  11
   10     5.  11.   1   2.85589E-09  B  11
   11     6.  12.   1   2.91038E-01  C  12
   12     6.  13.   1   7.79704E-09  C  13
   13     7.  13.   1   1.05375E-17  N  13
   14     7.  14.   1   8.84852E-03  N  14
   15     6.  14.   1   3.95066E-04  C  14
   16     7.  15.   1   3.06203E-04  N  15
   17     8.  16.   1   2.26514E-01  O  16
   18     8.  17.   1   6.00596E-04  O  17
   19     8.  18.   1   2.58191E-03  O  18
   20     9.  17.   1   5.43175E-21  F  17
   21     9.  18.   1   1.82896E-15  F  18
   22     9.  19.   1   3.70166E-05  F  19
   23    10.  20.   1   2.46282E-03  NE 20
   24    10.  21.   1   8.81735E-05  NE 21
   25    10.  22.   1   4.77369E-02  NE 22
   26    11.  22.   1   2.72938E-15  NA 22
   27    11.  23.   1   8.79033E-04  NA 23
   28    12.  23.   1   1.00000E-99  MG 23
   29    12.  24.   1   3.23439E-03  MG 24
   30    12.  25.   1   3.73293E-04  MG 25
   31    12.  26.   1   6.17733E-03  MG 26
   32    13.  26.   1   3.71154E-12  AL 26
   33    13.  27.   1   7.02986E-05  AL 27
   34    14.  27.   1   1.00000E-99  SI 27
   35    14.  28.   1   8.60213E-04  SI 28
   36    14.  29.   1   4.11237E-05  SI 29
   37    14.  30.   1   8.95927E-05  SI 30
   38    15.  31.   1   3.52570E-04  P  31
   39    16.  31.   1   1.00000E-99  S  31
   46     4.   8.   1   1.00000E-99  BE  8
   47     8.  14.   1   1.00000E-99  O  14
   48     8.  15.   1   2.09394E-21  O  15
   49    11.  21.   1   3.72761E-25  NA 21
   50    13.  25.   1   6.55597E-23  AL 25
   51    15.  29.   1   1.00000E-99  P  29
   52    15.  30.   1   2.09694E-27  P  30
   53    82. 206.   1   2.21249E-05  PB206
   54    82. 207.   1   1.27630E-05  PB207
   55    83. 211.   1   2.15207E-22  BI211
   56    84. 210.   1   1.00000E-99  PO210
   58     9.  20.   1   1.67124E-20  F  20
   59    10.  19.   1   1.00000E-99  NE 19
   60    11.  24.   1   3.14223E-15  NA 24
   61    12.  27.   1   4.02176E-18  MG 27
   62    12.  28.   1   1.00000E-99  MG 28
   63    13.  28.   1   9.37115E-19  AL 28
   64    13.  29.   1   1.00000E-99  AL 29
   65    14.  31.   1   9.31418E-17  SI 31
   66    14.  32.   1   6.78975E-20  SI 32
   67    15.  32.   1   8.04234E-15  P  32
   68    15.  33.   1   3.80206E-17  P  33
   69    15.  34.   1   1.00000E-99  P  34
   70    15.  35.   1   1.00000E-99  P  35
   71    16.  32.   1   2.18506E-04  S  32
   72    16.  33.   1   2.14550E-06  S  33
   73    16.  34.   1   3.72829E-05  S  34
   74    16.  35.   1   1.17583E-15  S  35
   75    16.  36.   1   1.22457E-05  S  36
   76    16.  37.   1   1.23438E-20  S  37
   77    16.  38.   1   1.00000E-99  S  38
   78    17.  34.   1   1.00000E-99  CL 34
   79    17.  35.   1   4.75279E-07  CL 35
   80    17.  36.   1   5.88135E-08  CL 36
   81    17.  37.   1   2.97639E-05  CL 37
   82    17.  38.   1   3.36756E-18  CL 38
   83    17.  39.   1   1.00000E-99  CL 39
   84    17.  40.   1   1.00000E-99  CL 40
   85    18.  35.   1   1.00000E-99  AR 35
   86    18.  36.   1   1.18793E-08  AR 36
   87    18.  37.   1   9.94105E-18  AR 37
   88    18.  38.   1   2.44404E-05  AR 38
   89    18.  39.   1   5.31165E-11  AR 39
   90    18.  40.   1   1.63430E-05  AR 40
   91    18.  41.   1   3.82274E-18  AR 41
   92    18.  42.   1   1.14522E-24  AR 42
   93    18.  43.   1   1.00000E-99  AR 43
   94    18.  44.   1   1.00000E-99  AR 44
   95    19.  38.   1   1.00000E-99  K  38
   96    19.  39.   1   9.93649E-06  K  39
   97    19.  40.   1   1.15413E-06  K  40
   98    19.  41.   1   2.56051E-06  K  41
   99    19.  42.   1   7.55745E-17  K  42
  100    19.  43.   1   1.03816E-26  K  43
  101    19.  44.   1   1.00000E-99  K  44
  102    19.  45.   1   1.00000E-99  K  45
  103    19.  46.   1   1.00000E-99  K  46
  104    20.  39.   1   1.00000E-99  CA 39
  105    20.  40.   1   3.58133E-07  CA 40
  106    20.  41.   1   9.28835E-09  CA 41
  107    20.  42.   1   6.18921E-06  CA 42
  108    20.  43.   1   1.06210E-06  CA 43
  109    20.  44.   1   1.57931E-05  CA 44
  110    20.  45.   1   3.46362E-14  CA 45
  111    20.  46.   1   2.11046E-08  CA 46
  112    20.  47.   1   7.51349E-19  CA 47
  113    20.  48.   1   7.23239E-08  CA 48
  114    20.  49.   1   7.23175E-22  CA 49
  115    21.  43.   1   1.00000E-99  SC 43
  116    21.  44.   1   1.00000E-99  SC 44
  117    21.  45.   1   1.29381E-06  SC 45
  118    21.  46.   1   1.63601E-14  SC 46
  119    21.  47.   1   5.80031E-19  SC 47
  120    21.  48.   1   1.00000E-99  SC 48
  121    21.  49.   1   4.64112E-21  SC 49
  122    21.  50.   1   1.00000E-99  SC 50
  123    22.  44.   1   1.00000E-99  TI 44
  124    22.  45.   1   1.00000E-99  TI 45
  125    22.  46.   1   6.29544E-06  TI 46
  126    22.  47.   1   1.23550E-06  TI 47
  127    22.  48.   1   3.88269E-06  TI 48
  128    22.  49.   1   5.10275E-06  TI 49
  129    22.  50.   1   4.80329E-05  TI 50
  130    22.  51.   1   4.17365E-19  TI 51
  131    22.  52.   1   1.00000E-99  TI 52
  132    23.  47.   1   1.00000E-99  V  47
  133    23.  48.   1   1.00000E-99  V  48
  134    23.  49.   1   1.00000E-99  V  49
  135    23.  50.   1   7.76281E-21  V  50
  136    23.  51.   1   6.64075E-07  V  51
  137    23.  52.   1   3.05467E-19  V  52
  138    23.  53.   1   1.00000E-99  V  53
  139    24.  48.   1   1.00000E-99  CR 48
