  0 NEUT     3.581974663e-14 
  1 PROT     2.740743302e-11 
  1 H   2    1.324440122e-23 
  2 HE  3    1.927401813e-18 
  2 HE  4    4.489572978e-09 
  4 BE  7    3.536294715e-24 
  5 B   8    5.554682357e-76 
  3 LI  7    6.822459332e-32 
  6 C  11    1.985829723e-14 
  5 B  11    2.855890998e-09 
  6 C  12    5.330398963e-06 
  6 C  13    4.908618037e-12 
  7 N  13    4.759044238e-17 
  7 N  14    1.067067071e-10 
  6 C  14    6.716081804e-13 
  7 N  15    9.148986252e-12 
  8 O  16    1.852226941e-01 
  8 O  17    3.786314239e-11 
  8 O  18    1.195444205e-15 
  9 F  17    1.581997232e-14 
  9 F  18    3.149272799e-16 
  9 F  19    9.278635506e-17 
 10 NE 20    1.516148272e-06 
 10 NE 21    5.719039966e-11 
 10 NE 22    2.317365980e-10 
 11 NA 22    9.806951835e-12 
 11 NA 23    8.592127957e-09 
 12 MG 23    5.488664731e-10 
 12 MG 24    5.563880087e-03 
 12 MG 25    1.459981622e-06 
 12 MG 26    2.335482517e-06 
 13 AL 26    5.929789924e-10 
 13 AL 27    4.511863478e-05 
 14 SI 27    2.926764761e-07 
 14 SI 28    4.023652369e-01 
 14 SI 29    4.533616868e-03 
 14 SI 30    7.966159199e-02 
 15 P  31    3.808256775e-03 
 16 S  31    3.474468917e-07 
  4 BE  8    1.000000000e-99 
  8 O  14    2.236213435e-23 
  8 O  15    2.821631323e-13 
 11 NA 21    2.415004304e-16 
 13 AL 25    5.569732536e-13 
 15 P  29    8.947226901e-11 
 15 P  30    1.459546552e-07 
 82 PB206    9.418319067e-18 
 82 PB207    1.180882948e-19 
 83 BI211    1.000000000e-99 
 84 PO210    5.679147014e-13 
  9 F  20    6.505990433e-22 
 10 NE 19    4.022894259e-20 
 11 NA 24    1.425834187e-13 
 12 MG 27    7.303137896e-12 
 12 MG 28    1.555492795e-14 
 13 AL 28    1.245168077e-08 
 13 AL 29    1.635876410e-10 
 14 SI 31    2.240883140e-06 
 14 SI 32    9.930359696e-09 
 15 P  32    5.035669148e-06 
 15 P  33    1.025935593e-05 
 15 P  34    8.004596981e-12 
 15 P  35    7.667827204e-15 
 16 S  32    3.216205927e-02 
 16 S  33    1.959926285e-03 
 16 S  34    2.343337917e-01 
 16 S  35    7.862059547e-06 
 16 S  36    4.004044753e-06 
 16 S  37    4.610445286e-15 
 16 S  38    5.135636240e-19 
 17 CL 34    5.214421828e-09 
 17 CL 35    3.161940417e-04 
 17 CL 36    4.873049394e-06 
 17 CL 37    3.777471681e-05 
 17 CL 38    3.153021307e-11 
 17 CL 39    1.745903461e-14 
 17 CL 40    1.338945159e-21 
 18 AR 35    1.642271408e-13 
 18 AR 36    5.571888024e-04 
