H NUM   Z    A    ISOM ABUNDNACE_MF  ISOTP
 # mod       38 dzeit  2.00E+03 agej  1.0000E+04
 # t9 =    5.500E-02 rho =    1.000E+02
 # densn  6.02200E-74
 # densp  1.39361E+16
 # densa  5.91998E+25
    1     0.   1.   1   1.00000E-99  NEUT 
    2     1.   1.   1   2.31419E-10  PROT 
    3     1.   2.   1   1.00000E-99  H   2
    4     2.   3.   1   1.00000E-99  HE  3
    5     2.   4.   1   9.83058E-01  HE  4
    6     4.   7.   1   1.44707E-27  BE  7
    7     5.   8.   1   1.00000E-99  B   8
    8     3.   7.   1   3.86412E-27  LI  7
    9     6.  11.   1   1.00000E-99  C  11
   10     5.  11.   1   4.73174E-09  B  11
   11     6.  12.   1   1.87677E-04  C  12
   12     6.  13.   1   5.14906E-05  C  13
   13     7.  13.   1   1.76587E-16  N  13
   14     7.  14.   1   1.27398E-02  N  14
   15     6.  14.   1   4.06371E-12  C  14
   16     7.  15.   1   2.12186E-07  N  15
   17     8.  16.   1   1.17972E-04  O  16
   18     8.  17.   1   1.55566E-07  O  17
   19     8.  18.   1   1.99107E-10  O  18
   20     9.  17.   1   2.11462E-20  F  17
   21     9.  18.   1   2.91837E-20  F  18
   22     9.  19.   1   1.90963E-10  F  19
   23    10.  20.   1   1.47829E-03  NE 20
   24    10.  21.   1   2.29935E-07  NE 21
   25    10.  22.   1   2.88284E-05  NE 22
   26    11.  22.   1   2.76203E-15  NA 22
   27    11.  23.   1   2.01634E-04  NA 23
   28    12.  23.   1   1.00000E-99  MG 23
   29    12.  24.   1   6.26320E-04  MG 24
   30    12.  25.   1   5.14132E-07  MG 25
   31    12.  26.   1   7.28562E-05  MG 26
   32    13.  26.   1   3.25403E-05  AL 26
   33    13.  27.   1   1.02551E-04  AL 27
   34    14.  27.   1   1.56085E-24  SI 27
   35    14.  28.   1   6.53962E-04  SI 28
   36    14.  29.   1   3.42488E-05  SI 29
   37    14.  30.   1   2.36004E-05  SI 30
   38    15.  31.   1   8.18249E-06  P  31
   39    16.  31.   1   1.00000E-99  S  31
   46     4.   8.   1   1.00000E-99  BE  8
   47     8.  14.   1   1.00000E-99  O  14
   48     8.  15.   1   4.15648E-17  O  15
   49    11.  21.   1   6.22664E-22  NA 21
   50    13.  25.   1   1.00000E-99  AL 25
   51    15.  29.   1   1.00000E-99  P  29
   52    15.  30.   1   1.21258E-24  P  30
   53    82. 206.   1   3.09440E-09  PB206
   54    82. 207.   1   3.37681E-09  PB207
   55    83. 211.   1   1.00000E-99  BI211
   56    84. 210.   1   1.00000E-99  PO210
   58     9.  20.   1   1.00000E-99  F  20
   59    10.  19.   1   1.00000E-99  NE 19
   60    11.  24.   1   7.72396E-20  NA 24
   61    12.  27.   1   3.01112E-24  MG 27
   62    12.  28.   1   1.00000E-99  MG 28
   63    13.  28.   1   1.09806E-22  AL 28
   64    13.  29.   1   1.00000E-99  AL 29
   65    14.  31.   1   2.34466E-21  SI 31
   66    14.  32.   1   1.00000E-99  SI 32
   67    15.  32.   1   5.64133E-21  P  32
   68    15.  33.   1   3.33355E-21  P  33
   69    15.  34.   1   1.00000E-99  P  34
   70    15.  35.   1   1.00000E-99  P  35
   71    16.  32.   1   3.96363E-04  S  32
   72    16.  33.   1   3.22821E-06  S  33
   73    16.  34.   1   1.86866E-05  S  34
   74    16.  35.   1   7.20045E-20  S  35
   75    16.  36.   1   9.39235E-08  S  36
   76    16.  37.   1   6.94374E-27  S  37
