H NUM     Z    A ISOM  ABUNDANCE_MF  ISOTP
 # mod     2049 dzeit  1.63E+00 agej  2.5912E+07
 # t9 =    3.435E-01 rho =    3.740E+03
 # densn  2.02779E+04
 # densp  9.89188E+01
 # densa  3.68043E+20
 # total_energy_flux_[erg/(g*s)]  0.00000E+00
    1     0.   1.   1   9.00220E-24  NEUT 
    2     1.   1.   1   4.39141E-26  PROT 
    3     1.   2.   1   3.06854E-18  H   2
    4     2.   3.   1   1.00000E-99  HE  3
    5     2.   4.   1   6.53557E-07  HE  4
    6     4.   7.   1   1.00000E-99  BE  7
    7     5.   8.   1   1.00000E-99  B   8
    8     3.   7.   1   9.04729E-19  LI  7
    9     6.  11.   1   1.00000E-99  C  11
   10     5.  11.   1   2.85846E-13  B  11
   11     6.  12.   1   2.76888E-01  C  12
   12     6.  13.   1   1.37847E-10  C  13
   13     7.  13.   1   4.20694E-20  N  13
   14     7.  14.   1   2.89274E-12  N  14
   15     6.  14.   1   4.09402E-09  C  14
   16     7.  15.   1   9.00198E-16  N  15
   17     8.  16.   1   7.21153E-01  O  16
   18     8.  17.   1   8.03600E-07  O  17
   19     8.  18.   1   2.94852E-11  O  18
   20     9.  17.   1   6.01665E-23  F  17
   21     9.  18.   1   8.23329E-17  F  18
   22     9.  19.   1   2.34359E-14  F  19
   23    10.  20.   1   1.93039E-03  NE 20
   24    10.  21.   1   9.24865E-07  NE 21
   25    10.  22.   1   5.34553E-06  NE 22
   26    11.  22.   1   5.95038E-19  NA 22
   27    11.  23.   1   6.75320E-09  NA 23
   28    12.  23.   1   1.00000E-99  MG 23
   29    12.  24.   1   1.18625E-05  MG 24
   30    12.  25.   1   2.64487E-06  MG 25
   31    12.  26.   1   5.48697E-06  MG 26
   32    13.  26.   1   4.34892E-17  AL 26
   33    13.  27.   1   2.24572E-07  AL 27
   34    14.  27.   1   1.00000E-99  SI 27
   35    14.  28.   1   9.35348E-07  SI 28
   36    14.  29.   1   1.50493E-08  SI 29
   37    14.  30.   1   8.43637E-09  SI 30
   38    15.  31.   1   4.37970E-09  P  31
   39    16.  31.   1   1.00000E-99  S  31
   46     4.   8.   1   1.00000E-99  BE  8
   47     8.  14.   1   1.00000E-99  O  14
   48     8.  15.   1   1.00000E-99  O  15
   49    11.  21.   1   1.22315E-26  NA 21
   50    13.  25.   1   1.53206E-25  AL 25
   51    15.  29.   1   1.00000E-99  P  29
   52    15.  30.   1   1.00000E-99  P  30
   53    82. 206.   1   3.20499E-13  PB206
   54    82. 207.   1   3.26147E-13  PB207
   55    83. 211.   1   1.00000E-99  BI211
   56    84. 210.   1   2.10994E-20  PO210
   58     9.  20.   1   6.47397E-27  F  20
   59    10.  19.   1   1.00000E-99  NE 19
   60    11.  24.   1   4.17932E-18  NA 24
   61    12.  27.   1   3.28585E-18  MG 27
   62    12.  28.   1   4.15344E-27  MG 28
   63    13.  28.   1   1.05585E-18  AL 28
   64    13.  29.   1   1.00000E-99  AL 29
   65    14.  31.   1   1.11145E-18  SI 31
   66    14.  32.   1   1.82953E-18  SI 32
   67    15.  32.   1   8.15249E-17  P  32
   68    15.  33.   1   1.21895E-16  P  33
   69    15.  34.   1   1.00000E-99  P  34
   70    15.  35.   1   1.00000E-99  P  35
   71    16.  32.   1   1.02771E-07  S  32
   72    16.  33.   1   2.45033E-09  S  33
   73    16.  34.   1   2.11753E-09  S  34
   74    16.  35.   1   3.39216E-15  S  35
   75    16.  36.   1   7.03593E-11  S  36
   76    16.  37.   1   2.30348E-23  S  37
   77    16.  38.   1   1.00000E-99  S  38
   78    17.  34.   1   1.00000E-99  CL 34
   79    17.  35.   1   5.95880E-10  CL 35
   80    17.  36.   1   5.42159E-11  CL 36
   81    17.  37.   1   2.80910E-09  CL 37
   82    17.  38.   1   8.92196E-20  CL 38
   83    17.  39.   1   1.00000E-99  CL 39
   84    17.  40.   1   1.00000E-99  CL 40
   85    18.  35.   1   1.00000E-99  AR 35
   86    18.  36.   1   1.38243E-08  AR 36
   87    18.  37.   1   2.40317E-14  AR 37
   88    18.  38.   1   2.36234E-09  AR 38
   89    18.  39.   1   8.42571E-12  AR 39
   90    18.  40.   1   7.43527E-12  AR 40
   91    18.  41.   1   8.86549E-22  AR 41
   92    18.  42.   1   1.81725E-23  AR 42
   93    18.  43.   1   1.00000E-99  AR 43
   94    18.  44.   1   1.00000E-99  AR 44
   95    19.  38.   1   1.00000E-99  K  38
   96    19.  39.   1   4.25344E-10  K  39
   97    19.  40.   1   4.89868E-11  K  40
   98    19.  41.   1   1.41437E-10  K  41
   99    19.  42.   1   1.02278E-18  K  42
  100    19.  43.   1   3.43983E-26  K  43
  101    19.  44.   1   1.00000E-99  K  44
  102    19.  45.   1   1.00000E-99  K  45
  103    19.  46.   1   1.00000E-99  K  46
  104    20.  39.   1   1.00000E-99  CA 39
  105    20.  40.   1   1.07992E-08  CA 40
  106    20.  41.   1   1.62275E-10  CA 41
  107    20.  42.   1   1.56187E-10  CA 42
  108    20.  43.   1   2.27802E-11  CA 43
  109    20.  44.   1   1.61000E-10  CA 44
  110    20.  45.   1   1.39700E-16  CA 45
  111    20.  46.   1   3.11456E-13  CA 46
  112    20.  47.   1   4.50838E-21  CA 47
  113    20.  48.   1   1.64822E-11  CA 48
  114    20.  49.   1   5.41506E-23  CA 49
  115    21.  43.   1   1.00000E-99  SC 43
  116    21.  44.   1   1.00000E-99  SC 44
  117    21.  45.   1   1.81318E-11  SC 45
  118    21.  46.   1   4.47316E-17  SC 46
  119    21.  47.   1   3.46350E-21  SC 47
  120    21.  48.   1   1.00000E-99  SC 48
  121    21.  49.   1   3.47991E-22  SC 49
  122    21.  50.   1   1.00000E-99  SC 50
  123    22.  44.   1   3.85577E-24  TI 44
  124    22.  45.   1   1.00000E-99  TI 45
  125    22.  46.   1   3.34307E-11  TI 46
  126    22.  47.   1   1.60002E-11  TI 47
  127    22.  48.   1   3.03485E-10  TI 48
  128    22.  49.   1   2.30790E-10  TI 49
  129    22.  50.   1   8.09608E-11  TI 50
  130    22.  51.   1   7.12707E-22  TI 51
  131    22.  52.   1   1.00000E-99  TI 52
  132    23.  47.   1   1.00000E-99  V  47
  133    23.  48.   1   1.00000E-99  V  48
  134    23.  49.   1   2.20951E-25  V  49
  135    23.  50.   1   3.74550E-14  V  50
  136    23.  51.   1   5.22470E-11  V  51
  137    23.  52.   1   5.54302E-21  V  52
  138    23.  53.   1   1.00000E-99  V  53
  139    24.  48.   1   1.00000E-99  CR 48
  140    24.  49.   1   1.00000E-99  CR 49
  141    24.  50.   1   2.94751E-11  CR 50
  142    24.  51.   1   4.46253E-16  CR 51
  143    24.  52.   1   1.50244E-09  CR 52
  144    24.  53.   1   1.71784E-10  CR 53
  145    24.  54.   1   2.60075E-10  CR 54
  146    24.  55.   1   2.60720E-21  CR 55
  147    24.  56.   1   1.00000E-99  CR 56
  148    25.  51.   1   1.00000E-99  MN 51
  149    25.  52.   1   1.00000E-99  MN 52
  150    25.  53.   1   1.38846E-18  MN 53
  151    25.  54.   1   4.85667E-21  MN 54
  152    25.  55.   1   2.97859E-09  MN 55
  153    25.  56.   1   1.27692E-18  MN 56
  154    25.  57.   1   1.00000E-99  MN 57
  155    26.  52.   1   1.00000E-99  FE 52
  156    26.  53.   1   1.00000E-99  FE 53
  157    26.  54.   1   4.18486E-09  FE 54
  158    26.  55.   1   2.45964E-11  FE 55
  159    26.  56.   1   1.14622E-07  FE 56
  160    26.  57.   1   1.54670E-08  FE 57
  161    26.  58.   1   7.67691E-09  FE 58
  162    26.  59.   1   2.93579E-15  FE 59
  163    26.  60.   1   7.44743E-15  FE 60
  164    26.  61.   1   7.02180E-26  FE 61
  165    27.  55.   1   1.00000E-99  CO 55
  166    27.  56.   1   1.00000E-99  CO 56
  167    27.  57.   1   3.10017E-24  CO 57
  168    27.  58.   1   1.26306E-21  CO 58
  169    27.  59.   1   1.20303E-09  CO 59
  170    27.  60.   1   1.69510E-15  CO 60
  171    27.  61.   1   7.31565E-24  CO 61
  172    27.  62.   1   1.00000E-99  CO 62
  173    27.  63.   1   1.00000E-99  CO 63
  174    28.  56.   1   1.00000E-99  NI 56
  175    28.  57.   1   1.00000E-99  NI 57
  176    28.  58.   1   3.19325E-09  NI 58
  177    28.  59.   1   8.97197E-10  NI 59
  178    28.  60.   1   2.57823E-09  NI 60
  179    28.  61.   1   7.00067E-10  NI 61
  180    28.  62.   1   7.96004E-10  NI 62
  181    28.  63.   1   1.68166E-12  NI 63
  182    28.  64.   1   1.16195E-10  NI 64
  183    28.  65.   1   2.34737E-20  NI 65
  184    28.  66.   1   1.00000E-99  NI 66
  185    28.  67.   1   1.00000E-99  NI 67
  186    28.  68.   1   1.00000E-99  NI 68
  187    29.  60.   1   1.00000E-99  CU 60
  188    29.  61.   1   1.00000E-99  CU 61
  189    29.  62.   1   1.00000E-99  CU 62
  190    29.  63.   1   2.02277E-10  CU 63
  191    29.  64.   1   6.45560E-18  CU 64
  192    29.  65.   1   1.13514E-10  CU 65
  193    29.  66.   1   7.43254E-21  CU 66
  194    29.  67.   1   1.53975E-27  CU 67
  195    29.  68.   1   1.00000E-99  CU 68
  196    29.  69.   1   1.00000E-99  CU 69
  197    29.  70.   1   1.00000E-99  CU 70
  198    29.  71.   1   1.00000E-99  CU 71
  199    30.  62.   1   1.00000E-99  ZN 62
  200    30.  63.   1   1.00000E-99  ZN 63
  201    30.  64.   1   9.98798E-11  ZN 64
  202    30.  65.   1   1.67544E-14  ZN 65
  203    30.  66.   1   6.66586E-11  ZN 66
  204    30.  67.   1   1.42858E-11  ZN 67
  205    30.  68.   1   6.33321E-11  ZN 68
  206    30.  69.   1   2.94389E-20  ZN 69
  207    30.  70.   1   1.07710E-12  ZN 70
  208    30.  71.   1   2.46523E-23  ZN 71
  209    30.  72.   1   1.00000E-99  ZN 72
  210    30.  73.   1   1.00000E-99  ZN 73
  211    30.  74.   1   1.00000E-99  ZN 74
  212    31.  65.   1   1.00000E-99  GA 65
  213    31.  66.   1   1.00000E-99  GA 66
  214    31.  67.   1   1.00000E-99  GA 67
  215    31.  68.   1   1.00000E-99  GA 68
  216    31.  69.   1   8.38089E-12  GA 69
  217    31.  70.   1   1.05976E-20  GA 70
  218    31.  71.   1   6.15400E-12  GA 71
  219    31.  72.   1   2.95450E-20  GA 72
