H NUM     Z    A ISOM  ABUNDANCE_MF  ISOTP
 # mod     4836 dzeit  1.85E-04 agej  1.2362E+06
 # t9 =    1.396E+00 rho =    5.156E+05
 # densn  6.16739E+09
 # densp  1.28365E+12
 # densa  1.37717E+17
 # total_energy_flux_[erg/(g*s)]  0.00000E+00
    1     0.   1.   1   1.98625E-20  NEUT 
    2     1.   1.   1   4.13409E-18  PROT 
    3     1.   2.   1   1.00000E-99  H   2
    4     2.   3.   1   7.35981E-22  HE  3
    5     2.   4.   1   1.77411E-12  HE  4
    6     4.   7.   1   1.00000E-99  BE  7
    7     5.   8.   1   1.00000E-99  B   8
    8     3.   7.   1   1.00000E-99  LI  7
    9     6.  11.   1   1.29425E-14  C  11
   10     5.  11.   1   3.43252E-09  B  11
   11     6.  12.   1   5.12643E-05  C  12
   12     6.  13.   1   4.93190E-12  C  13
   13     7.  13.   1   8.68065E-20  N  13
   14     7.  14.   1   3.49342E-08  N  14
   15     6.  14.   1   1.05457E-09  C  14
   16     7.  15.   1   1.21666E-09  N  15
   17     8.  16.   1   5.57686E-01  O  16
   18     8.  17.   1   9.97540E-10  O  17
   19     8.  18.   1   3.01557E-09  O  18
   20     9.  17.   1   3.82387E-20  F  17
   21     9.  18.   1   4.07693E-11  F  18
   22     9.  19.   1   3.05920E-11  F  19
   23    10.  20.   1   3.44489E-01  NE 20
   24    10.  21.   1   3.24628E-04  NE 21
   25    10.  22.   1   4.03369E-06  NE 22
   26    11.  22.   1   5.86837E-08  NA 22
   27    11.  23.   1   4.51143E-03  NA 23
   28    12.  23.   1   5.64486E-13  MG 23
   29    12.  24.   1   6.43908E-02  MG 24
   30    12.  25.   1   7.80425E-03  MG 25
   31    12.  26.   1   9.31495E-03  MG 26
   32    13.  26.   1   1.94228E-08  AL 26
   33    13.  27.   1   2.48417E-03  AL 27
   34    14.  27.   1   9.17045E-12  SI 27
   35    14.  28.   1   5.35147E-03  SI 28
   36    14.  29.   1   1.22344E-03  SI 29
   37    14.  30.   1   3.31323E-04  SI 30
   38    15.  31.   1   8.67820E-05  P  31
   39    16.  31.   1   7.09531E-14  S  31
   46     4.   8.   1   1.00000E-99  BE  8
   47     8.  14.   1   3.49206E-23  O  14
   48     8.  15.   1   4.37576E-14  O  15
   49    11.  21.   1   6.38033E-14  NA 21
   50    13.  25.   1   4.69014E-15  AL 25
   51    15.  29.   1   6.57615E-15  P  29
   52    15.  30.   1   5.61001E-10  P  30
   53    82. 206.   1   1.16762E-08  PB206
   54    82. 207.   1   1.30879E-08  PB207
   55    83. 211.   1   5.96983E-23  BI211
   56    84. 210.   1   3.60838E-11  PO210
   58     9.  20.   1   1.60060E-18  F  20
   59    10.  19.   1   5.44365E-19  NE 19
   60    11.  24.   1   5.24435E-08  NA 24
   61    12.  27.   1   1.08224E-08  MG 27
   62    12.  28.   1   2.05929E-12  MG 28
   63    13.  28.   1   7.06095E-09  AL 28
   64    13.  29.   1   1.85740E-12  AL 29
   65    14.  31.   1   1.28552E-08  SI 31
   66    14.  32.   1   3.40636E-08  SI 32
   67    15.  32.   1   4.35166E-07  P  32
   68    15.  33.   1   6.65533E-07  P  33
   69    15.  34.   1   4.13600E-14  P  34
   70    15.  35.   1   9.63010E-21  P  35
   71    16.  32.   1   1.80025E-04  S  32
   72    16.  33.   1   7.70168E-06  S  33
   73    16.  34.   1   3.07433E-05  S  34
   74    16.  35.   1   1.73182E-06  S  35
   75    16.  36.   1   4.42962E-06  S  36
   76    16.  37.   1   4.19827E-14  S  37
   77    16.  38.   1   6.83348E-19  S  38
   78    17.  34.   1   9.28426E-15  CL 34
   79    17.  35.   1   3.10642E-06  CL 35
   80    17.  36.   1   1.59392E-07  CL 36
   81    17.  37.   1   3.01102E-05  CL 37
   82    17.  38.   1   3.34260E-10  CL 38
   83    17.  39.   1   1.40424E-14  CL 39
   84    17.  40.   1   4.87698E-21  CL 40
   85    18.  35.   1   2.39892E-23  AR 35
   86    18.  36.   1   1.28482E-05  AR 36
   87    18.  37.   1   2.89253E-08  AR 37
   88    18.  38.   1   4.41594E-05  AR 38
   89    18.  39.   1   4.97645E-06  AR 39
   90    18.  40.   1   2.00630E-06  AR 40
   91    18.  41.   1   7.10245E-11  AR 41
   92    18.  42.   1   1.03996E-10  AR 42
   93    18.  43.   1   1.86496E-16  AR 43
   94    18.  44.   1   9.22435E-22  AR 44
   95    19.  38.   1   9.93987E-17  K  38
   96    19.  39.   1   6.23044E-06  K  39
   97    19.  40.   1   8.66676E-07  K  40
   98    19.  41.   1   1.25961E-06  K  41
   99    19.  42.   1   3.92897E-09  K  42
  100    19.  43.   1   4.64393E-12  K  43
  101    19.  44.   1   4.36441E-17  K  44
  102    19.  45.   1   1.44954E-21  K  45
  103    19.  46.   1   1.00000E-99  K  46
  104    20.  39.   1   3.26980E-26  CA 39
  105    20.  40.   1   2.26514E-05  CA 40
  106    20.  41.   1   5.18702E-07  CA 41
  107    20.  42.   1   2.51648E-06  CA 42
  108    20.  43.   1   9.64994E-07  CA 43
  109    20.  44.   1   2.90326E-06  CA 44
  110    20.  45.   1   7.32613E-08  CA 45
  111    20.  46.   1   1.19013E-07  CA 46
  112    20.  47.   1   2.63854E-10  CA 47
  113    20.  48.   1   1.25698E-07  CA 48
  114    20.  49.   1   1.14638E-13  CA 49
  115    21.  43.   1   1.19151E-11  SC 43
  116    21.  44.   1   1.24638E-11  SC 44
  117    21.  45.   1   5.96057E-07  SC 45
  118    21.  46.   1   7.95407E-09  SC 46
  119    21.  47.   1   8.84230E-10  SC 47
  120    21.  48.   1   1.02440E-11  SC 48
  121    21.  49.   1   1.07680E-12  SC 49
  122    21.  50.   1   3.50318E-19  SC 50
  123    22.  44.   1   7.62524E-12  TI 44
  124    22.  45.   1   8.02294E-15  TI 45
  125    22.  46.   1   5.30455E-07  TI 46
  126    22.  47.   1   3.20098E-07  TI 47
  127    22.  48.   1   6.11130E-07  TI 48
  128    22.  49.   1   6.48634E-07  TI 49
  129    22.  50.   1   2.73524E-06  TI 50
  130    22.  51.   1   8.35439E-12  TI 51
  131    22.  52.   1   7.32998E-18  TI 52
  132    23.  47.   1   2.04016E-13  V  47
  133    23.  48.   1   3.25305E-13  V  48
  134    23.  49.   1   1.39972E-09  V  49
  135    23.  50.   1   1.36699E-10  V  50
  136    23.  51.   1   3.26998E-07  V  51
  137    23.  52.   1   5.26731E-12  V  52
  138    23.  53.   1   8.60460E-18  V  53
  139    24.  48.   1   1.06433E-19  CR 48
  140    24.  49.   1   1.22785E-19  CR 49
  141    24.  50.   1   3.17901E-09  CR 50
  142    24.  51.   1   7.89096E-11  CR 51
  143    24.  52.   1   3.95206E-06  CR 52
  144    24.  53.   1   1.49589E-06  CR 53
  145    24.  54.   1   7.22432E-06  CR 54
  146    24.  55.   1   3.02498E-11  CR 55
  147    24.  56.   1   1.99098E-16  CR 56
  148    25.  51.   1   4.81504E-16  MN 51
  149    25.  52.   1   1.00069E-16  MN 52
  150    25.  53.   1   5.40462E-09  MN 53
  151    25.  54.   1   1.77597E-09  MN 54
  152    25.  55.   1   2.62613E-06  MN 55
  153    25.  56.   1   4.47174E-11  MN 56
  154    25.  57.   1   3.51863E-16  MN 57
  155    26.  52.   1   4.79511E-23  FE 52
  156    26.  53.   1   5.43363E-24  FE 53
  157    26.  54.   1   2.61799E-07  FE 54
  158    26.  55.   1   1.04703E-07  FE 55
  159    26.  56.   1   2.15351E-04  FE 56
  160    26.  57.   1   1.08925E-04  FE 57
  161    26.  58.   1   3.63213E-04  FE 58
  162    26.  59.   1   1.45756E-06  FE 59
  163    26.  60.   1   2.20323E-05  FE 60
  164    26.  61.   1   3.81720E-11  FE 61
  165    27.  55.   1   1.37600E-13  CO 55
  166    27.  56.   1   2.61150E-13  CO 56
  167    27.  57.   1   3.57968E-08  CO 57
  168    27.  58.   1   1.58407E-08  CO 58
  169    27.  59.   1   2.68737E-04  CO 59
  170    27.  60.   1   2.84729E-07  CO 60
  171    27.  61.   1   1.75354E-09  CO 61
  172    27.  62.   1   7.71218E-15  CO 62
  173    27.  63.   1   2.34528E-20  CO 63
  174    28.  56.   1   1.40079E-20  NI 56
  175    28.  57.   1   1.23297E-19  NI 57
  176    28.  58.   1   1.11035E-07  NI 58
  177    28.  59.   1   1.13659E-08  NI 59
  178    28.  60.   1   1.25700E-04  NI 60
  179    28.  61.   1   5.25719E-05  NI 61
  180    28.  62.   1   1.97413E-04  NI 62
  181    28.  63.   1   3.62235E-05  NI 63
  182    28.  64.   1   6.30609E-05  NI 64
  183    28.  65.   1   1.42660E-09  NI 65
  184    28.  66.   1   4.42823E-12  NI 66
  185    28.  67.   1   6.62758E-19  NI 67
  186    28.  68.   1   1.79574E-25  NI 68
  187    29.  60.   1   2.77848E-17  CU 60
  188    29.  61.   1   7.91909E-12  CU 61
  189    29.  62.   1   1.67149E-12  CU 62
  190    29.  63.   1   9.44889E-06  CU 63
  191    29.  64.   1   4.07210E-08  CU 64
  192    29.  65.   1   2.06592E-05  CU 65
  193    29.  66.   1   6.04423E-10  CU 66
  194    29.  67.   1   1.63888E-11  CU 67
  195    29.  68.   1   2.23224E-16  CU 68
  196    29.  69.   1   4.47600E-21  CU 69
  197    29.  70.   1   5.65862E-27  CU 70
  198    29.  71.   1   1.00000E-99  CU 71
  199    30.  62.   1   5.59009E-19  ZN 62
  200    30.  63.   1   2.76946E-19  ZN 63
  201    30.  64.   1   2.09045E-06  ZN 64
  202    30.  65.   1   1.08080E-07  ZN 65
  203    30.  66.   1   1.84983E-05  ZN 66
  204    30.  67.   1   7.16156E-06  ZN 67
  205    30.  68.   1   2.57789E-05  ZN 68
  206    30.  69.   1   4.74691E-09  ZN 69
