22Ne(a,n)25Mg
The final matched rates are as follows for Tmatchnew = 1.333 (GK):
	Temp		 LR		 Median		 HR		 Mu		 Sigma		 AD
	0.010		 1.86e-249	 1.81e-248	 7.92e-248	 -5.708e+02	 1.86e+00	 6.14e+01
	0.011		 1.69e-227	 1.64e-226	 7.20e-226	 -5.202e+02	 1.86e+00	 6.10e+01
	0.012		 3.40e-209	 3.29e-208	 1.44e-207	 -4.781e+02	 1.85e+00	 6.06e+01
	0.013		 1.05e-193	 1.01e-192	 4.43e-192	 -4.424e+02	 1.85e+00	 6.06e+01
	0.014		 1.99e-180	 1.92e-179	 8.40e-179	 -4.118e+02	 1.85e+00	 6.04e+01
	0.015		 6.44e-169	 6.21e-168	 2.72e-167	 -3.853e+02	 1.85e+00	 6.02e+01
	0.016		 7.65e-159	 7.37e-158	 3.22e-157	 -3.621e+02	 1.85e+00	 6.00e+01
	0.018		 4.83e-142	 4.65e-141	 2.03e-140	 -3.235e+02	 1.85e+00	 6.00e+01
	0.020		 1.38e-128	 1.33e-127	 5.81e-127	 -2.925e+02	 1.86e+00	 6.03e+01
	0.025		 2.69e-104	 2.64e-103	 1.15e-102	 -2.365e+02	 1.87e+00	 6.28e+01
	0.030		 5.13e-88	 5.08e-87	 2.25e-86	 -1.991e+02	 1.90e+00	 6.65e+01
	0.040		 1.46e-67	 1.49e-66	 6.64e-66	 -1.519e+02	 1.94e+00	 7.20e+01
	0.050		 2.99e-55	 3.05e-54	 1.36e-53	 -1.236e+02	 1.95e+00	 7.29e+01
	0.060		 4.92e-47	 4.87e-46	 2.17e-45	 -1.047e+02	 1.92e+00	 6.81e+01
	0.070		 3.70e-41	 3.48e-40	 1.55e-39	 -9.117e+01	 1.84e+00	 5.72e+01
	0.080		 1.03e-36	 8.44e-36	 3.73e-35	 -8.101e+01	 1.74e+00	 4.36e+01
	0.090		 3.23e-33	 2.19e-32	 9.43e-32	 -7.309e+01	 1.62e+00	 3.11e+01
	0.100		 2.17e-30	 1.20e-29	 4.92e-29	 -6.673e+01	 1.50e+00	 2.12e+01
	0.110		 4.65e-28	 2.12e-27	 8.22e-27	 -6.151e+01	 1.39e+00	 1.43e+01
	0.120		 4.24e-26	 1.62e-25	 5.82e-25	 -5.714e+01	 1.29e+00	 9.86e+00
	0.130		 1.94e-24	 6.61e-24	 2.14e-23	 -5.342e+01	 1.19e+00	 6.93e+00
	0.140		 5.27e-23	 1.64e-22	 4.81e-22	 -5.020e+01	 1.08e+00	 4.64e+00
	0.150		 9.94e-22	 2.74e-21	 7.18e-21	 -4.737e+01	 9.62e-01	 2.96e+00
	0.160		 1.43e-20	 3.39e-20	 7.89e-20	 -4.484e+01	 8.29e-01	 3.27e+00
	0.180		 1.61e-18	 2.74e-18	 5.01e-18	 -4.040e+01	 5.53e-01	 1.26e+01
	0.200		 9.14e-17	 1.24e-16	 1.79e-16	 -3.660e+01	 3.43e-01	 1.12e+01
	0.250		 1.68e-13	 2.06e-13	 2.53e-13	 -2.921e+01	 2.06e-01	 3.49e-01
	0.300		 2.74e-11	 3.36e-11	 4.15e-11	 -2.411e+01	 2.06e-01	 4.10e-01
	0.350		 1.05e-09	 1.29e-09	 1.59e-09	 -2.046e+01	 2.05e-01	 4.68e-01
	0.400		 1.64e-08	 2.00e-08	 2.45e-08	 -1.773e+01	 1.99e-01	 5.25e-01
	0.450		 1.42e-07	 1.71e-07	 2.07e-07	 -1.558e+01	 1.88e-01	 6.99e-01
	0.500		 8.51e-07	 1.00e-06	 1.19e-06	 -1.381e+01	 1.68e-01	 1.13e+00
	0.600		 1.74e-05	 1.92e-05	 2.15e-05	 -1.085e+01	 1.07e-01	 2.15e+00
	0.700		 2.36e-04	 2.51e-04	 2.69e-04	 -8.287e+00	 6.70e-02	 1.13e+00
	0.800		 2.15e-03	 2.27e-03	 2.42e-03	 -6.084e+00	 5.79e-02	 3.45e+00
	0.900		 1.36e-02	 1.43e-02	 1.51e-02	 -4.246e+00	 5.34e-02	 4.07e+00
	1.000		 6.34e-02	 6.64e-02	 6.98e-02	 -2.711e+00	 4.82e-02	 3.59e+00
	1.250		 1.18e+00	1.22e+00       1.27e+00	       1.998e-01	 3.88e-02	 1.63e+00
	1.500		 1.09e+01       1.14e+01       1.18e+01        2.431e+00     3.89e-02       --------
	1.750		 6.79e+01       7.06e+01       7.34e+01        4.257e+00     3.89e-02	    --------
	2.000		 2.92e+02       3.04e+02       3.16e+02        5.717e+00     3.89e-02	    --------
	2.500		 2.74e+03       2.85e+03       2.96e+03        7.953e+00     3.89e-02	    --------
	3.000		 1.41e+04       1.46e+04       1.52e+04        9.590e+00     3.89e-02	   --------
	3.500		 4.96e+04       5.16e+04       5.37e+04        1.085e+01     3.89e-02	   --------
	4.000		 1.36e+05       1.41e+05       1.47e+05        1.186e+01     3.89e-02	   --------
	5.000		 6.10e+05       6.34e+05       6.59e+05        1.336e+01     3.89e-02	   --------
	6.000		 1.80e+06       1.88e+06       1.95e+06        1.444e+01     3.89e-02	   --------
	7.000		 4.07e+06       4.23e+06       4.40e+06        1.526e+01     3.89e-02	   --------
	8.000		 7.70e+06       8.01e+06       8.32e+06        1.590e+01     3.89e-02	   --------
	9.000		 1.28e+07       1.33e+07       1.39e+07        1.640e+01     3.89e-02	   --------
	10.000		 1.97e+07      2.04e+07       2.12e+07        1.683e+01    3.89e-02      --------
