C Maria Lugaro gave this file to Falk Herwig around 2003. It originates in Gallino's group in Torino. 
C
C ISOT.       Ni(AG89)      Xi(AG89)no      Ni(GR91)      Xi(GR91)                 these columns show the      
C these data are decreased by the factor 1.017 as input data in impterem       errors on the solar abundance 
C long-lived isotopes (*) are given at the formation of the solar system         and that on the neutron
C i.e. 4.55e9 yr ago                                                 atom %     capture cross section (these
C                                                                              (last should probably be updated) 
C  Marco   October 2005                                               AG89      sigperc sigperc*Ni MACSperc
D NEUT      2.790D+10     1.000D-99	2.790d+10     7.057d-01      99.9966	  0.0  0.000D+00  0.
C h   1     2.790D+10     7.057D-01	2.790d+10     7.057d-01      99.9966	  0.0  0.000D+00  0.
D PROT      2.790D+10     7.057D-01	2.790d+10     7.057d-01      99.9966	  0.0  0.000D+00  0.
D h   2     9.490D+05     4.801D-05	9.490d+05     4.801d-05       0.0034	  0.0  0.000D+00  0.
D he  3     3.860D+05     2.929D-05	3.860d+05     2.929d-05       0.0142	  0.0  0.000D+00  0.
D he  4     2.720D+09     2.752D-01	2.720d+09     2.752d-01      99.9858	  0.0  0.000D+00  0.
D li  6     4.280D+00     6.496D-10	4.280d+00     6.496d-10       7.5	  9.2  3.938D-01  0.
D li  7     5.282D+01     9.353D-09	5.282d+01     9.352d-09      92.5	  9.2  4.859D+00  0.
D be  9     7.300D-01     1.662D-10	7.300d-01     1.662d-10     100.0	  9.5  6.935D-02  0.
D b  10     4.220D+00     1.067D-09	4.220d+00     1.067d-09      19.9	 10.0  4.220D-01  0.
D b  11     1.698D+01     4.725D-09	1.698d+01     4.725d-09      80.1	 10.0  1.698D+00  0.
D c  12     9.990D+06     3.032D-03	1.095d+07     3.325d-03      98.90	  0.0  0.000D+00  6.5
D c  13     1.110D+05     3.650D-05	1.218d+05     4.006d-05       1.10	  0.0  0.000D+00  39.13
D n  14     3.120D+06     1.105D-03	2.781d+06     9.847d-04      99.634	  0.0  0.000D+00  170.73
D n  15     1.150D+04     4.363D-06	1.021d+04     3.876d-06       0.366	  0.0  0.000D+00  0.
D o  16     2.370D+07     9.592D-03	2.370d+07     9.592d-03      99.762	 10.0  2.370D+06  0.
D o  17     9.040D+03     3.887D-06	9.040d+03     3.887d-06       0.038	 10.0  9.040D+02  0.
D o  18     4.760D+04     2.167D-05	4.760d+04     2.167d-05       0.200	 10.0  4.760D+03  0.
D f  19     8.430D+02     4.051D-07	8.430d+02     4.051d-07     100.0	 15.0  1.265D+02  19.30
D ne 20     3.200D+06     1.619D-03	3.200d+06     1.619d-03      92.99	 14.0  4.480D+05  9.24
D ne 21     7.770D+03     4.127D-06	7.770d+03     4.127d-06       0.226	 14.0  1.088D+03  50.
D ne 22     2.340D+05     1.302D-04	2.340d+05     1.302d-04       6.79	 14.0  3.276D+04  8.33
D na 23     5.740D+04     3.339D-05	5.740d+04     3.339d-05     100.0	  7.1  4.075D+03  9.52
D mg 24     8.480D+05     5.148D-04	8.480d+05     5.148d-04      78.99	  3.8  3.222D+04  4.76
D mg 25     1.070D+05     6.766D-05	1.070d+05     6.766d-05      10.00	  3.8  4.066D+03  4.62
D mg 26     1.180D+05     7.760D-05	1.180d+05     7.760d-05      11.01	  3.8  4.484D+03  4.55
D al 27     8.490D+04     5.798D-05	8.490d+04     5.798d-05     100.0	  3.6  3.056D+03  7.89
D si 28     9.220D+05     6.530D-04	9.220d+05     6.530d-04      92.23	  4.4  4.057D+04  11.43
D si 29     4.670D+04     3.426D-05	4.670d+04     3.426d-05       4.67	  4.4  2.055D+03  11.39
D si 30     3.100D+04     2.352D-05	3.100d+04     2.352d-05       3.10	  4.4  1.364D+03  9.38
D p  31     1.040D+04     8.155D-06	1.040d+04     8.155d-06     100.0	 10.0  1.040D+03  5.17
