22Ne(6Li,d) + 26Mg(a,a') - Present Work					22Ne(a,g)				22Ne(a,n)	
					Total				Total	
					Reaction Rate				Reaction Rate	
T9				Lower 	 	Median		Upper 			Lower 		Median		Upper 
0.01				4.91E-81	6.20E-81	8.01E-81		6.97E-252	7.87E-252	8.86E-252
0.011				4.26E-78	5.37E-78	6.94E-78		6.65E-230	7.50E-230	8.45E-230
0.012				1.70E-75	2.15E-75	2.77E-75		1.39E-211	1.57E-211	1.77E-211
0.013				3.61E-73	4.55E-73	5.88E-73		4.34E-196	4.90E-196	5.51E-196
0.014				4.54E-71	5.72E-71	7.40E-71		8.47E-183	9.56E-183	1.08E-182
0.015				3.67E-69	4.63E-69	5.98E-69		2.81E-171	3.17E-171	3.57E-171
0.016				2.04E-67	2.57E-67	3.33E-67		3.40E-161	3.84E-161	4.32E-161
0.018				2.51E-64	3.16E-64	4.08E-64		2.20E-144	2.48E-144	2.79E-144
0.02				1.15E-61	1.45E-61	1.87E-61		6.26E-131	7.07E-131	7.96E-131
0.025				2.50E-56	3.14E-56	1.16E-55		1.09E-106	1.23E-106	1.38E-106
0.03				2.95E-52	3.72E-52	5.08E-49		1.66E-90	1.88E-90	2.11E-90
0.04				2.66E-46	3.40E-46	1.60E-40		3.48E-70	3.99E-70	4.90E-70
0.05				1.04E-41	8.75E-41	1.86E-35		2.45E-57	3.17E-57	6.03E-57
0.06				3.20E-36	2.70E-35	4.25E-32		2.91E-48	3.88E-48	7.98E-48
0.07				4.64E-32	2.29E-31	1.12E-29		9.70E-42	1.30E-41	2.69E-41
0.08				5.92E-29	1.98E-28	1.16E-27		7.45E-37	9.97E-37	2.07E-36
0.09				1.52E-26	3.68E-26	8.94E-26		4.61E-33	6.17E-33	1.28E-32
0.1				1.26E-24	2.35E-24	3.97E-24		4.90E-30	6.56E-30	1.36E-29
0.11				4.49E-23	6.83E-23	9.78E-23		1.45E-27	1.94E-27	4.02E-27
0.12				8.08E-22	1.11E-21	1.52E-21		1.64E-25	2.19E-25	4.56E-25
0.13				8.85E-21	1.22E-20	1.63E-20		8.86E-24	1.19E-23	2.48E-23
0.14				6.67E-20	9.65E-20	1.33E-19		2.69E-22	3.63E-22	7.60E-22
0.15				4.11E-19	6.17E-19	8.68E-19		5.17E-21	7.00E-21	1.48E-20
0.16				2.36E-18	3.49E-18	4.91E-18		6.85E-20	9.38E-20	2.01E-19
0.18				8.02E-17	1.00E-16	1.28E-16		5.13E-18	7.35E-18	1.63E-17
0.2				2.00E-15	2.28E-15	2.64E-15		1.70E-16	2.62E-16	6.01E-16
0.25				8.68E-13	9.29E-13	1.01E-12		1.36E-13	2.49E-13	5.66E-13
0.3				5.08E-11	5.62E-11	6.57E-11		1.79E-11	3.33E-11	6.84E-11
0.35				9.64E-10	1.13E-09	1.43E-09		6.88E-10	1.20E-09	2.21E-09
0.4				9.31E-09	1.15E-08	1.52E-08		1.12E-08	1.81E-08	3.05E-08
0.45				5.72E-08	7.30E-08	9.86E-08		1.03E-07	1.54E-07	2.39E-07
0.5				2.53E-07	3.28E-07	4.46E-07		6.73E-07	9.16E-07	1.30E-06
0.6				2.47E-06	3.22E-06	4.33E-06		1.72E-05	1.97E-05	2.33E-05
0.7				1.31E-05	1.67E-05	2.20E-05		2.79E-04	2.94E-04	3.12E-04
0.8				4.75E-05	5.94E-05	7.55E-05		2.76E-03	2.85E-03	2.95E-03
0.9				1.38E-04	1.69E-04	2.08E-04		1.79E-02	1.85E-02	1.91E-02
1.				3.46E-04	4.19E-04	5.10E-04		8.36E-02	8.68E-02	9.00E-02
1.25				2.33E-03	2.86E-03	3.70E-03		1.51E+00	1.59E+00	1.68E+00
1.5				1.04E-02	1.33E-02	1.78E-02		1.14E+01	1.22E+01	1.30E+01
2.				1.93E-01	2.48E-01	3.32E-01		3.17E+02	3.39E+02	3.63E+02
2.5				1.60E+00	2.06E+00	2.75E+00		3.15E+03	3.37E+03	3.60E+03
3.				7.99E+00	1.03E+01	1.37E+01		1.70E+04	1.82E+04	1.95E+04
3.5				2.80E+01	3.59E+01	4.81E+01		6.20E+04	6.63E+04	7.10E+04
4.				7.61E+01	9.75E+01	1.30E+02		1.72E+05	1.85E+05	1.98E+05
5.				3.29E+02	4.22E+02	5.65E+02		7.87E+05	8.42E+05	9.02E+05
6.				8.95E+02	1.15E+03	1.53E+03		2.32E+06	2.48E+06	2.66E+06
7.				1.84E+03	2.36E+03	3.15E+03		5.29E+06	5.66E+06	6.06E+06
8.				3.20E+03	4.11E+03	5.49E+03		1.03E+07	1.11E+07	1.18E+07
9.				5.13E+03	6.58E+03	8.80E+03		1.84E+07	1.97E+07	2.11E+07
10.				8.00E+03	1.03E+04	1.37E+04		3.11E+07	3.33E+07	3.56E+07
										

